,1,2,4,8,16
0,23.876221,32.349333,53.573519,89.703436,169.092492
1,23.93628,32.510342,53.684421,89.751336,169.23731
2,23.941144,32.57968,53.696644,89.788997,169.805064
3,24.173538,32.634619,54.012584,89.869341,170.519271
4,24.205472,32.788013,54.199926,89.983282,171.027738
5,24.39019,32.923169,54.277616,89.985171,171.186925
6,24.512387,33.041942,54.713511,90.045965,171.208553
7,24.848581,33.218854,54.854171,90.0946,171.292132
8,25.045043,33.294527,55.163615,90.128325,171.331552
9,25.192517,33.324988,55.289939,90.185184,171.406905
10,25.277821,33.354938,55.35099,90.260665,171.541162
11,25.287069,33.40754,55.362284,90.27372,171.551594
12,25.346647,33.444241,55.489377,90.313652,171.558187
13,25.403602,33.465584,55.526237,90.318068,171.609958
14,25.562211,33.513163,55.664241,90.432201,171.615526
15,25.61603,33.59418,56.20224,90.660629,171.644163
16,25.649531,33.603394,56.216863,90.677363,171.682848
17,25.735539,33.620993,56.393583,90.759819,171.683072
18,25.872775,33.687163,56.432395,90.764299,171.70067
19,25.911171,33.694235,56.475559,90.838212,171.729115
20,25.945601,33.70073,56.596636,90.918654,171.74713
21,26.125104,33.778483,56.648631,90.946619,171.799861
22,26.136303,33.873898,56.777483,90.949594,171.810101
23,26.252132,33.888008,56.796426,90.977016,171.816244
24,26.45141,33.974305,56.85834,90.978904,171.819284
25,26.793651,34.047482,56.962202,91.143881,171.836722
26,26.871276,34.065497,57.151561,91.442125,171.845681
27,26.930695,34.132594,57.209412,91.54666,171.863215
28,27.137908,35.021089,57.256672,91.65337,171.891597
29,27.461558,35.180435,57.320091,91.714869,171.9011
30,27.510609,35.262667,57.373845,91.850569,171.908651
31,27.636198,35.30004,57.377973,91.868999,171.916072
32,27.730717,35.479383,57.640317,91.877893,171.918666
33,28.346181,35.938286,57.658044,92.019481,171.949285
34,28.681415,35.979178,57.662331,92.105361,171.963942
35,29.029863,36.012006,57.755378,92.330973,171.96423
36,30.070632,36.252785,57.922307,92.383959,171.975205
37,30.327057,36.492955,57.949953,92.554088,172.041471
38,30.598552,36.697416,58.014779,93.306052,172.097083
39,31.582238,36.759234,58.113458,93.619335,172.178163
40,32.6527,36.962864,58.380377,93.719965,172.26977
41,33.02905,37.520093,58.482288,93.829204,172.290505
42,33.069527,38.490724,58.695036,93.978054,172.398044
43,33.085685,39.456365,58.748056,94.070909,172.405406
44,33.107699,43.938035,58.846575,94.230927,172.546674
45,33.581895,44.820354,68.128034,96.41716,175.071691
46,34.060732,45.001426,69.466727,98.965983,179.761373
47,34.206863,45.03064,70.650268,104.176132,180.710601
48,35.446942,45.722,71.235303,110.732527,180.747366
49,37.004591,45.797289,80.039621,133.665348,212.343154
