,1,2,4
0,557.120396,725.186555,970.907801
1,559.147795,727.597855,970.914809
2,559.896434,728.130084,971.380462
3,561.296398,728.410507,971.649525
4,562.389739,729.647604,971.969496
5,562.456836,729.664312,972.495272
6,563.109,729.782798,973.232576
7,564.187078,729.835529,973.961378
8,564.333912,729.836278,974.445974
9,564.926278,729.845576,979.522728
10,565.200398,729.852615,980.339004
11,565.317667,729.872997,980.555395
12,565.392792,729.90462,980.594532
13,565.749115,729.909932,982.91278
14,565.889226,730.061089,985.657175
15,565.973799,730.06179,986.917663
16,566.029475,730.062623,987.094766
17,566.161426,730.077212,989.368575
18,566.293062,730.116079,991.221589
19,566.467546,730.655741,991.419587
20,566.511665,730.683109,992.510848
21,566.670883,730.923376,992.83412
22,566.783545,731.121599,993.936803
23,566.850263,731.803074,994.302049
24,566.859414,732.123522,994.677119
25,566.907314,732.169534,995.282727
26,566.995786,732.494882,995.415355
27,567.049473,732.591821,996.13081
28,567.143996,732.747115,996.712426
29,567.254322,732.787387,997.142682
30,567.27422,734.115738,999.295705
31,567.293102,737.594478,1000.466409
32,567.416703,743.695255,1000.975995
33,567.48636,745.420678,1001.560122
34,567.665101,746.855618,1007.337141
35,567.758244,747.91515,1007.348948
36,568.115652,748.241058,1007.748751
37,568.15824,748.246736,1008.402004
38,568.263222,748.283296,1008.927354
39,568.385862,748.918438,1009.339422
40,568.879807,749.000991,1010.791165
41,569.375825,749.044283,1013.263575
42,570.318171,749.379976,1013.875875
43,571.033402,749.510716,1014.901957
44,572.124214,750.083387,1015.187467
45,572.649797,750.897085,1015.310367
46,573.132633,751.206881,1015.735344
47,596.076536,765.484706,1015.916776
48,607.554244,770.553702,1017.408672
49,608.511241,784.671966,1026.349545
