,1,2,4,8
0,345.387145,446.032499,575.384888,929.284084
1,345.640305,454.565734,575.904155,930.803944
2,345.762565,455.035774,576.22785,931.061649
3,346.328691,455.248746,576.483411,931.352759
4,346.411819,455.418935,576.549325,931.482762
5,346.463333,455.55147,577.287721,931.96643
6,346.500651,455.841651,577.716141,932.032057
7,346.686993,455.848915,578.485436,932.526379
8,346.694864,455.867889,578.903894,932.681341
9,346.780904,455.986759,579.472173,933.794168
10,347.031985,456.067719,579.551674,936.834431
11,347.202081,456.287211,579.889532,937.510337
12,347.258653,456.363908,580.371568,938.290969
13,347.281114,456.559826,580.665781,938.425453
14,347.289753,456.562682,581.107437,939.719223
15,347.305562,456.765511,581.429763,940.005897
16,347.331542,456.87103,581.651631,940.3695
17,347.345621,457.135421,582.383032,940.529613
18,347.354004,457.307662,583.034897,941.042974
19,347.419885,457.403078,583.308823,941.886052
20,347.503942,457.651439,583.486599,942.581445
21,347.534948,457.696619,584.229571,943.87766
22,347.552098,457.801257,584.479161,945.556962
23,347.591998,458.240288,584.592738,948.956479
24,347.690548,458.352652,584.682554,949.580102
25,347.77083,458.361486,584.901509,950.298405
26,347.838087,458.433607,585.439573,950.471383
27,347.986618,458.507176,585.482225,951.483608
28,348.007641,458.725845,585.497615,952.036966
29,348.156563,458.831971,586.252413,952.188792
30,348.209063,459.592038,586.711155,952.556759
31,348.330524,459.592101,586.866238,953.54259
32,348.387413,459.730232,587.144428,953.56374
33,348.453489,459.943205,587.734447,953.6589
34,348.458063,459.98621,587.912358,953.804038
35,348.565351,460.385725,588.115571,954.468842
36,348.717143,460.45359,588.850191,955.176361
37,348.917671,460.690137,589.076699,958.932338
38,348.939107,460.834452,589.646484,959.66168
39,349.074679,461.588239,589.740799,959.675186
40,349.100982,461.760512,590.372581,960.854185
41,349.288837,461.810011,590.709747,961.665437
42,349.339616,462.295919,590.804925,963.921454
43,349.491282,462.302733,591.460399,964.110974
44,349.744123,462.691818,592.572412,964.839096
45,350.000291,463.460281,594.288287,965.578392
46,350.385952,463.831842,595.914058,967.009333
47,353.012919,488.156166,597.867232,970.490678
48,384.753762,500.975557,609.318125,989.571878
49,393.117261,504.094194,616.258774,992.895936
