,1,2,4,8
0,85.766815,127.795805,208.906428,380.414102
1,85.845433,127.866262,209.281532,380.43287
2,85.860439,128.309006,209.387346,380.55041
3,85.89042,128.339339,209.389106,380.636275
4,85.893204,128.350281,209.627133,380.768711
5,85.913618,128.420003,209.62758,380.789228
6,85.950991,128.467039,209.662169,380.900874
7,86.06874,128.493341,209.696054,380.909626
8,86.157148,128.672396,209.76904,381.024031
9,86.262226,128.722888,209.809259,381.024726
10,86.282416,128.798753,209.823402,381.120341
11,86.295471,128.837662,209.85492,381.2227
12,86.305998,128.840125,209.861607,381.303109
13,86.378471,128.853756,209.921247,381.484678
14,86.425667,128.913558,209.941246,381.600386
15,86.462784,128.977136,209.948959,381.616104
16,86.538041,128.999086,210.03999,381.658532
17,86.589172,129.001998,210.06213,381.673123
18,86.610034,129.005326,210.071572,381.68125
19,86.658222,129.027724,210.14894,381.695873
20,86.665837,129.057034,210.155242,381.741429
21,86.70785,129.131554,210.159562,381.768027
22,86.747686,129.138658,210.169994,381.769626
23,86.758533,129.142274,210.213702,381.85605
24,86.8144,129.146561,210.226437,381.860074
25,86.837213,129.153184,210.241348,381.883311
26,86.840093,129.169375,210.27085,381.975367
27,86.866363,129.181374,210.30851,381.978464
28,86.906231,129.229498,210.335899,382.009892
29,86.966418,129.248439,210.348409,382.069207
30,86.995311,129.269078,210.349658,382.168534
31,86.996879,129.274453,210.397014,382.220369
32,87.081799,129.284116,210.416052,382.222032
33,87.098277,129.286068,210.417716,382.267461
34,87.115749,129.326001,210.496365,382.299394
35,87.130115,129.385803,210.575334,382.435357
36,87.138082,129.389227,210.585347,382.461747
37,87.154593,129.478626,210.585765,382.547371
38,87.161696,129.553083,210.74194,382.688478
39,87.2023,129.882334,210.898792,382.757216
40,87.210556,129.907867,210.903304,382.761336
41,87.312914,130.115465,211.024317,382.827666
42,87.426727,130.154853,211.330464,382.924073
43,87.529438,130.17981,211.416377,382.961827
44,88.211072,130.469416,211.574474,383.256114
45,88.36373,130.718353,211.627813,383.324165
46,90.144559,132.341821,218.360958,383.506003
47,90.831185,134.633099,221.06167,383.670693
48,113.27486,158.308662,226.675556,391.569979
49,121.684684,170.650414,249.537579,439.672793
