,1,2,4,8,16
0,19.211494,21.852948,31.089098,48.813363,88.407982
1,19.223236,21.874513,31.125895,49.29879,88.622492
2,19.244739,22.026755,31.307127,49.405916,88.969916
3,19.361048,22.198932,31.614299,49.500627,89.028822
4,19.472174,22.471515,32.100975,49.658533,89.441264
5,19.549031,22.707557,32.214596,49.681379,89.537064
6,19.631167,22.83513,32.350776,49.730558,89.61664
7,19.718136,22.852472,32.449167,49.789593,89.68137
8,19.751092,23.218231,32.638686,49.881968,89.900582
9,19.775122,23.450113,32.715926,49.917485,90.050393
10,19.828813,23.608116,32.728085,50.031363,90.156047
11,19.884744,23.638289,33.17198,50.208499,90.240647
12,19.907302,23.678509,33.207913,50.228145,90.245863
13,19.97744,23.735751,33.42447,50.240752,90.287075
14,20.002174,24.02203,33.748728,50.276396,90.397337
15,20.009597,24.079368,33.75404,50.351813,90.430934
16,20.045178,24.266455,33.833744,50.372036,90.465939
17,20.219689,24.80471,33.899402,50.41264,90.601926
18,20.251655,25.219008,33.969956,50.546452,90.788149
19,20.348062,25.499974,34.634087,50.564018,90.819539
20,20.365725,25.50487,34.689635,50.792957,90.855759
21,20.413944,25.506885,34.703937,50.948175,90.876909
22,20.418392,26.024055,34.783449,50.970093,90.918474
23,20.435798,26.029494,35.005861,50.983884,91.031263
24,20.439542,26.139148,35.019076,51.389639,91.094553
25,20.518606,26.423378,35.109468,51.998831,91.381855
26,20.720636,26.44024,35.440318,52.202044,91.457048
27,20.734235,26.692761,35.540053,52.242713,92.330408
28,20.801621,26.959617,35.567378,52.332849,92.714278
29,20.85288,27.013725,36.161852,52.58153,93.141055
30,21.009826,27.047417,36.282673,52.627061,93.150462
31,21.401726,27.325375,36.439779,53.107849,93.162076
32,21.442906,27.384666,36.671022,53.153925,93.212663
33,21.571854,27.440469,36.806561,53.635802,93.307695
34,21.922255,27.696349,36.944181,54.076017,93.331821
35,22.044323,27.820882,37.951321,54.302461,93.541945
36,22.045411,28.222606,38.06203,54.471085,93.549017
37,22.329385,28.343363,38.179523,54.68457,93.605716
38,22.885814,28.606539,38.304633,54.9584,93.789347
39,22.992364,29.018853,38.338742,55.166733,93.879835
40,23.226263,29.565906,38.684822,57.745154,93.882811
41,23.333422,29.875671,38.937662,57.849464,94.002031
42,24.341457,30.568311,41.567247,57.97051,94.386989
43,24.739181,30.718441,42.642637,58.404742,94.871392
44,24.803783,30.860797,42.992461,59.569019,95.053519
45,27.041882,30.982898,43.421125,62.065655,99.566899
46,27.64554,32.202658,44.578492,69.304737,100.31579
47,28.883251,33.160874,45.032467,70.799513,103.153579
48,29.008616,33.437713,49.04458,72.439011,118.945735
49,32.066928,37.042824,51.506371,108.936859,133.037343
