,1,2,4
0,348.623554,470.953365,695.39159
1,349.493014,471.635675,696.092454
2,349.668614,471.746253,697.388578
3,349.676997,471.985687,698.467712
4,349.76307,472.445393,699.127459
5,349.925584,472.59376,699.459525
6,350.003144,472.791565,700.313367
7,350.012291,472.806381,700.489557
8,350.135068,473.18401,701.175496
9,350.169236,473.397399,702.606758
10,350.321067,473.917675,702.617974
11,350.343433,474.047579,702.897035
12,350.369127,474.128947,702.973814
13,350.429409,474.261735,703.016256
14,350.569369,474.331233,703.065276
15,350.634322,474.586154,703.787084
16,350.763719,474.702239,703.887697
17,350.796032,474.757946,704.013158
18,350.872217,474.80994,704.024805
19,351.020015,474.854449,704.312284
20,351.082917,475.182771,704.698009
21,351.134725,475.381633,704.784337
22,351.14144,475.82412,705.565072
23,351.239063,475.950285,705.766264
24,351.411176,475.99588,706.049597
25,351.519233,476.113471,706.136405
26,351.54016,476.12045,706.919725
27,352.057297,476.123965,707.133914
28,352.069387,476.412163,707.302417
29,352.166851,476.538806,707.507576
30,352.180325,476.661292,707.925554
31,352.2839,476.714791,708.754636
32,352.332659,476.845018,709.155048
33,352.381838,477.086149,709.2799
34,352.439502,477.11101,709.319417
35,352.627768,477.206874,709.355349
36,352.629373,477.314064,709.934656
37,352.671512,477.374058,710.002587
38,352.909827,477.599094,710.2481
39,353.275165,477.807523,710.949572
40,353.366965,477.950199,710.987585
41,353.413904,478.272921,711.441015
42,353.444306,478.321556,711.876879
43,353.884837,478.443145,713.12611
44,354.265794,478.472103,713.94869
45,355.987529,479.387379,714.891964
46,357.205366,479.732371,720.954752
47,360.456145,499.968576,732.260885
48,390.235937,505.147535,746.149247
49,393.695456,508.811027,757.871588
