,mm,index_select,mul,scatter_add_,cat,other
1,58.709230260869546,35.52808813043478,34.915972000000004,18.414367739130434,27.78229117391305,105.86398602173912
2,81.71716834042554,36.34427512765957,69.44782670212767,25.87297195744681,43.80915806382978,143.02868812765934
4,122.54156985106381,36.924513702127676,138.44020640425535,41.89299725531915,77.0411565744681,207.59230912765958
