,mul,index_put_impl_,cat,sum,mm,other
1,1.5489115333333328,3.380368288888889,0.764546,1.0777613333333331,1.0834594666666666,4.459483377777779
2,2.9169755714285714,3.354498510204081,1.3565681020408167,1.6501181224489796,1.6698066938775513,6.31627536734694
4,5.6645402083333325,3.2523785625000006,2.6295094166666666,2.7540153333333337,2.0869566875000007,9.816161062499997
8,11.094781511111112,2.9384376222222226,4.938768577777777,4.739524977777778,2.940051222222222,17.0927492
16,21.94881675555556,3.371261555555556,9.729292844444446,9.580726288888886,6.113700133333333,32.331041066666664
