,16,32,64,128,256
0,38.828757,63.719672,126.091651,307.951856,859.556255
1,39.049984,63.840173,126.555449,310.648924,859.733834
2,39.139768,63.891912,127.237179,311.684539,859.766119
3,39.154743,63.919622,127.589851,311.948613,863.089695
4,39.239151,63.920293,127.850116,312.027612,864.737601
5,39.331686,63.965089,127.930012,312.521073,866.674195
6,39.3561,63.972001,128.041841,312.759034,867.997722
7,39.361156,63.993662,128.069872,312.800183,868.1491
8,39.366147,64.032891,128.274397,312.98967,870.639913
9,39.414687,64.058617,128.279132,313.03536,870.749215
10,39.419423,64.069752,128.312089,313.09478,870.991721
11,39.427422,64.075224,128.317144,313.278251,871.410562
12,39.430142,64.077399,128.344086,313.284235,871.434145
13,39.438269,64.111284,128.37762,313.378721,871.820509
14,39.490872,64.126995,128.385938,313.420766,872.335662
15,39.518166,64.158768,128.405745,313.561585,872.537372
16,39.518742,64.162575,128.478378,313.63006,872.59199
17,39.523573,64.21425,128.510983,313.840247,873.178881
18,39.560978,64.246663,128.538501,314.037093,873.306223
19,39.562994,64.270566,128.597471,314.481438,873.515075
20,39.638762,64.294083,128.616445,314.795298,873.618649
21,39.678727,64.326368,128.643451,315.036363,873.724431
22,39.703749,64.338495,128.654298,315.101318,873.87725
23,39.707269,64.349854,128.866023,315.327857,874.346903
24,39.756672,64.357085,128.869511,315.406026,878.336389
25,39.843064,64.416568,128.963998,315.593209,878.382401
26,39.877205,64.457012,128.979996,315.617751,880.258646
27,39.906035,64.482066,129.00345,315.679921,880.333992
28,39.967309,64.486162,129.019992,316.007188,880.640403
29,39.990155,64.494705,129.050837,316.037361,881.129222
30,40.019848,64.513839,129.088946,316.040753,881.276633
31,40.039207,64.515759,129.090834,316.073677,882.307067
32,40.08397,64.534349,129.1483,316.152998,882.901189
33,40.110176,64.562923,129.171211,316.565153,884.016779
34,40.123902,64.624549,129.172587,316.597406,884.721504
35,40.150748,64.657794,129.297023,316.688789,886.203973
36,40.192568,64.718524,129.302687,316.744176,887.676318
37,40.311214,64.737627,129.337083,316.797483,887.943814
38,40.352106,64.800341,129.370521,317.076881,888.851348
39,40.374856,64.809333,129.372536,317.09064,888.9355
40,40.815551,64.814644,129.548968,317.239779,889.396866
41,40.951635,64.842801,129.651295,317.659036,890.669966
42,41.631925,64.875727,129.813456,317.859147,890.7402
43,42.03352,64.892813,129.956483,317.926852,890.790148
44,42.831656,64.942024,129.977729,318.017244,891.052108
45,50.473809,65.096602,130.422617,318.42012,891.984586
46,50.909034,73.223575,130.95316,318.810772,892.012084
47,51.202895,87.409835,131.113786,319.715266,892.161666
48,51.429114,88.603838,149.088244,345.308883,896.21347
49,56.048566,101.452332,161.691417,351.39718,917.74128
