,mm,scatter_add_,index_select,gather,thnn_fused_gru_cell,other
16,2.818372734693878,1.4439226938775511,1.156335530612245,0.9107206734693877,0.2030561020408163,3.47415606122449
32,2.568185980000001,2.3732763399999994,1.8748663599999997,1.4952224599999997,0.39495282,3.610069519999998
64,4.121954761904763,3.8743247142857133,3.173116357142856,2.4228136428571427,0.7808445476190476,4.6960616428571385
128,7.948565295454544,8.81807865909091,6.599136340909092,5.277754386363638,1.5349509090909093,6.814072636363633
256,23.679835600000004,19.88696433333333,13.110347111111112,10.7750084,3.047553733333334,11.781336999999994
512,88.4773443877551,43.14818132653062,26.271858265306133,22.613405938775504,6.04862206122449,23.339617428571444
1024,372.2438020833334,92.57264558333331,56.14026345833332,48.00947285416667,11.988691583333333,51.542635666666456
2048,1667.7703305200005,182.42208383999994,117.66083326000003,96.54830462000001,23.965703080000004,112.00579750000043
