,mm,mul,scatter_add_,index_select,gather,other
16,0.7701735714285712,0.6800270238095238,0.6675162619047619,0.4881658333333333,0.38040495238095234,2.7790170952380953
32,0.6856204042553191,1.054194382978723,0.9590514893617021,0.7388712340425532,0.5811257234042555,2.7762348510638297
64,1.0015092857142858,1.8398080204081633,1.4754841224489799,1.1515411836734695,0.8837680204081635,2.932556102040815
128,1.3840157959183672,3.4361359387755095,2.5917283469387757,1.950103918367347,1.5136819999999997,3.4241025102040794
256,1.8147511666666667,6.562076857142859,4.614927023809524,3.201144333333334,2.4798874047619055,4.265643714285716
512,3.4043904047619056,12.836037309523809,10.241904404761906,6.111655333333333,5.054893095238095,6.500291261904756
1024,6.6233269565217405,25.377464456521743,21.800202130434787,11.562217021739128,10.3304705,11.82323626086955
2048,13.389508166666667,50.378979208333355,44.76091479166667,24.870954291666667,20.033975291666668,23.232272291666646
