,amazon-photo,pubmed,amazon-computers,flickr,com-amazon
0,2255.59716796875,772.689453125,4761.7919921875,6401.658203125,3476.15185546875
1,2377.609375,911.080078125,5013.14892578125,7682.83349609375,5057.66064453125
2,2952.447265625,1216.37939453125,6137.3935546875,,
3,4282.55224609375,1826.43994140625,,,
4,6943.46826171875,3045.47509765625,,,
5,12265.61279296875,5482.58056640625,,,
