,amazon-photo,pubmed,amazon-computers
0,2859.064453125,1169.03076171875,5946.61865234375
1,2890.1201171875,1184.109375,6010.74609375
2,2952.447265625,1216.37939453125,6137.3935546875
3,3076.4921875,1279.47021484375,6391.845703125
4,3325.05419921875,1446.85302734375,6901.61572265625
5,4182.58544921875,1884.85986328125,
6,6136.33251953125,2762.52099609375,
7,10045.39697265625,4622.2412109375,
