,amazon-photo,pubmed,amazon-computers,coauthor-physics,flickr,com-amazon
0,2861.46142578125,1170.9189453125,5949.470703125,,10000.30615234375,8073.6328125
1,2893.0927734375,1186.166015625,6013.2822265625,,10132.24658203125,8274.2412109375
2,2955.49072265625,1218.77587890625,6140.90478515625,,10399.3779296875,8672.37841796875
3,3080.38134765625,1282.544921875,6396.23583984375,,10932.1337890625,9473.265625
4,3330.6533203125,1451.287109375,6907.3935546875,,11997.7816796875,12033.185546875
5,4192.015625,1892.09619140625,8671.7470703125,,,
6,6153.6865234375,2775.763671875,,,,
7,10076.193359375,4645.70654296875,,,,
