,8,16,32,64
0,321.36054,390.861366,570.827385,929.844127
1,321.758369,391.153532,570.893971,932.312607
2,322.27137,391.191113,571.201879,932.528733
3,322.276297,391.466544,572.07678,932.530772
4,322.40919,391.773716,572.487399,932.747352
5,322.462625,391.85094,572.761866,934.472251
6,322.533562,392.093767,572.783015,935.083043
7,322.548089,392.304596,572.886558,935.112097
8,322.590988,392.305651,573.28041,937.322616
9,322.667494,392.633013,573.288574,939.038012
10,322.691564,392.727564,573.85559,940.153607
11,322.760422,392.733548,573.968123,940.381378
12,322.825847,392.790296,574.854698,940.424399
13,322.871707,393.364595,574.881672,942.2177
14,322.881243,393.429645,574.985439,942.999205
15,322.904752,393.459146,575.010109,943.042145
16,322.987409,393.57388,575.021884,943.297513
17,322.993776,393.77239,575.078523,943.584272
18,323.106854,394.306838,575.255559,944.160619
19,323.128668,394.374479,575.880173,944.413604
20,323.243002,394.734407,575.952999,944.855639
21,323.249273,395.390955,576.698275,945.331025
22,323.297493,395.993044,576.905585,949.426102
23,323.321362,396.546377,577.263181,949.466393
24,323.34232,396.75839,577.815006,949.79634
25,323.355888,396.859509,577.974708,949.877741
26,323.41409,396.901097,578.092484,950.885297
27,323.417793,397.013271,578.35326,950.915823
28,323.458406,397.21826,578.404773,950.940332
29,323.72459,397.408291,578.698638,951.265807
30,323.800903,397.609577,578.706125,955.07842
31,323.951098,397.650765,578.787589,955.340956
32,323.956537,397.820534,579.040943,957.72472
33,324.038769,397.919253,579.279225,959.723609
34,324.140296,397.954833,579.511108,959.832103
35,324.17978,398.000581,579.824487,960.654916
36,324.206946,398.146241,580.588929,961.794621
37,324.214913,398.245647,580.706711,962.004521
38,324.22608,398.276692,581.0972,963.322961
39,324.435213,398.283691,581.098707,963.728013
40,324.546083,398.484065,581.528778,964.668055
41,324.616349,398.524478,581.546343,965.024183
42,324.625276,398.71342,581.664992,965.800304
43,324.699125,399.183394,582.016125,965.873481
44,324.933184,399.263442,582.677825,967.997266
45,325.098289,399.395974,583.530515,969.373378
46,325.224709,401.265981,585.307666,970.431732
47,326.543493,403.794774,597.669576,970.49451
48,350.089207,419.678368,607.045714,973.639557
49,370.430836,428.258803,610.961731,974.001999
