,8,16,32,64,128,256
0,70.556427,80.152445,105.641964,159.581728,289.383024,548.319148
1,70.722589,80.209048,105.811325,164.021741,291.088566,550.617371
2,71.095131,80.674767,105.913844,164.467331,291.366108,550.618297
3,71.52514,80.710251,106.291506,165.419852,291.710428,552.061399
4,71.605037,80.715723,106.519581,165.493255,291.991619,552.293536
5,71.66244,80.847007,106.521949,165.614716,292.197168,552.554762
6,71.710787,80.977715,106.625012,165.953437,292.201201,553.086969
7,71.732353,81.001488,106.86371,166.049364,292.389568,553.18728
8,71.73744,81.025199,107.055628,166.14369,292.428828,553.349846
9,71.751456,81.042029,107.080394,166.256224,292.430716,553.571426
10,71.758751,81.072202,107.1026,166.33289,292.447899,554.425822
11,71.789276,81.143876,107.646327,166.358648,292.472409,554.447901
12,71.804474,81.163938,107.989175,166.386677,292.627178,554.791741
13,71.816857,81.200702,108.159176,166.403732,292.83583,554.820602
14,71.928143,81.240315,108.235713,166.428561,292.870484,555.326316
15,71.94491,81.28012,108.239584,166.522856,292.912753,555.978769
16,72.245715,81.386414,108.37554,166.540871,293.077122,556.093564
17,72.248562,81.432106,108.446926,166.549158,293.224821,556.870719
18,72.289614,81.437257,108.899077,166.686907,293.313645,557.174146
19,72.384742,81.614137,109.272227,166.692952,293.332842,557.418989
20,72.397093,81.708497,109.291457,166.771409,293.408036,557.917248
21,72.547991,81.971289,109.643777,166.840268,293.54927,558.473505
22,72.934708,82.080399,109.835856,166.885288,293.619791,558.765874
23,73.17619,82.37074,109.870541,167.071479,293.701033,558.799118
24,73.241241,82.497705,110.047356,167.13912,293.742661,558.804067
25,73.75793,82.581665,110.067738,167.152655,293.933012,558.807842
26,73.924155,82.612766,110.243499,167.153296,293.935283,559.077034
27,74.595934,82.708918,110.277639,167.202603,294.009933,559.322772
28,74.758384,82.791342,110.417243,167.225673,294.141025,559.616452
29,74.929984,83.026744,110.443864,167.38025,294.14272,560.029843
30,75.764564,83.216104,110.567022,167.387769,294.237336,560.042546
31,76.127827,83.250181,110.748861,167.467443,294.296114,562.429207
32,77.545523,83.681342,111.315434,167.491057,294.614262,562.470643
33,77.67044,84.165425,111.864215,167.526093,294.96159,563.101081
34,78.428098,84.810487,111.877655,167.595208,295.009714,563.419036
35,78.469407,85.138553,111.918739,167.637987,295.039215,563.8519
36,78.655374,85.336616,111.959599,167.677696,295.15898,564.214015
37,78.67918,85.930002,112.241717,167.748985,295.280953,564.60344
38,78.763845,85.934769,112.271443,167.811476,295.282457,565.066573
39,78.773796,85.993356,112.600661,167.891756,295.376017,565.695379
40,80.275356,88.2895,112.720106,167.898252,295.457065,565.772557
41,80.387922,88.933057,112.887003,167.925001,295.584894,565.817377
42,80.415758,89.307616,113.601722,167.935881,296.079729,566.875271
43,80.601182,89.785236,113.60361,167.942375,296.23469,567.153767
44,80.699829,89.796115,113.892064,167.962853,296.334073,567.734425
45,80.75768,89.986882,114.275996,168.359074,297.325471,568.244042
46,81.080466,90.187375,115.417941,169.066178,297.383962,568.437368
47,87.457937,91.030179,121.008218,169.126492,297.960902,570.384203
48,96.34974,97.988492,129.583951,186.494098,316.414625,581.302079
49,143.574297,146.055367,150.903521,190.749225,340.851534,586.77008
