,8,16,32
0,494.292838,602.209375,915.19436
1,495.468762,602.503084,916.481026
2,495.700581,603.098702,917.459267
3,496.025959,603.592137,918.704163
4,496.552247,604.755767,919.177958
5,496.827486,605.174897,919.991267
6,496.861275,605.531664,920.47871
7,496.996719,606.060992,921.566386
8,497.085255,606.635923,921.700391
9,497.507424,606.793533,921.967982
10,498.272572,606.840856,923.721944
11,498.53818,607.044454,924.789645
12,498.973532,607.18205,925.074483
13,499.115151,607.360937,925.360899
14,499.295453,607.504252,926.686282
15,499.341557,607.561943,927.762119
16,499.504617,607.662021,927.781702
17,499.704728,607.717288,927.840353
18,499.952129,607.786874,927.898961
19,499.953698,607.844245,928.34453
20,499.997822,607.854004,929.576418
21,500.077622,607.882417,930.074964
22,500.192907,608.022797,930.304307
23,500.203404,608.031108,930.523071
24,500.683582,608.053623,930.67045
25,500.707196,608.15532,931.114889
26,501.008162,608.198461,931.334293
27,501.45292,608.221939,931.846087
28,501.51669,608.254768,933.238248
29,501.671782,608.283586,933.425622
30,501.839285,608.632237,933.447998
31,501.858836,608.652915,933.807412
32,502.154136,608.81238,934.528305
33,502.156249,608.932871,935.318003
34,502.286124,609.277426,937.10104
35,502.929841,609.3882,937.181449
36,503.603222,609.484,937.561638
37,503.689773,609.805634,937.850188
38,503.843231,609.82271,939.523379
39,503.891291,610.372963,939.981609
40,504.001425,611.271345,940.2626
41,504.29215,612.401962,940.972494
42,504.345553,612.758377,941.274131
43,504.628248,613.802859,944.469263
44,504.682195,615.145392,944.6855
45,505.219458,615.82693,944.724856
46,505.415824,616.498036,949.091049
47,505.830186,628.711421,950.441145
48,555.79753,629.243769,961.798436
49,560.620672,651.949865,976.04897
