,8,16,32,64,128
0,78.076907,110.636906,158.42521,271.63708,533.16374
1,78.130469,110.696709,159.287916,272.609504,533.48576
2,78.409325,110.85839,159.35127,276.864123,536.745301
3,78.461064,110.863733,160.318926,277.696111,537.169518
4,78.464103,110.942798,160.623474,277.743147,538.745726
5,78.471366,110.945357,160.643505,278.107658,538.821849
6,78.493349,111.103359,160.952116,278.392271,539.087999
7,78.494309,111.207286,161.074761,278.487623,539.263375
8,78.506276,111.284495,161.178623,278.9168,539.35767
9,78.517794,111.321099,161.415593,278.982778,540.196698
10,78.567006,111.334826,161.437095,279.00572,540.365322
11,78.570909,111.375398,161.4769,279.055027,540.521212
12,78.578813,111.503994,161.479715,279.158729,540.580022
13,78.616826,111.578036,161.519456,279.197542,540.667601
14,78.678419,111.594738,161.528927,279.298813,540.75867
15,78.68626,111.609585,161.556093,279.471725,541.007663
16,78.697266,111.618416,161.571323,279.500171,541.469542
17,78.697618,111.628208,161.634901,279.528328,541.654517
18,78.701137,111.654892,161.75857,279.555046,541.674293
19,78.716112,111.688714,161.763369,279.578916,542.020691
20,78.757709,111.693353,161.786536,279.678619,542.402
21,78.760716,111.695241,161.819077,279.814894,542.652444
22,78.852324,111.725766,161.840034,279.937442,542.715035
23,78.853924,111.776642,161.914876,279.955648,542.992444
24,78.874306,111.805247,161.922044,279.96272,543.047063
25,78.906271,111.875736,161.934459,280.148048,543.104723
26,78.950619,111.923348,161.954777,280.240679,543.286465
27,79.032116,111.997517,162.00674,280.252837,543.347452
28,79.038547,112.002508,162.011059,280.265701,543.669918
29,79.189797,112.045481,162.034321,280.271876,543.756795
30,79.230753,112.101764,162.037905,280.384697,544.364927
31,79.329849,112.198747,162.069006,280.484337,544.407388
32,79.552228,112.281332,162.073998,280.658881,544.606473
33,79.757681,112.410248,162.079117,280.692254,544.876048
34,79.887398,112.555579,162.195426,280.702172,545.07683
35,79.97555,112.656433,162.204033,280.726522,545.425764
36,79.998683,112.874206,162.210337,280.874957,545.492758
37,80.367769,112.8847,162.229599,280.91169,545.692332
38,81.014527,113.017616,162.23379,280.919529,546.066692
39,81.122869,113.16749,162.263132,280.981411,546.667091
40,81.189807,113.217822,162.408527,281.219885,546.708431
41,81.667139,113.596827,162.470761,281.509363,546.735277
42,81.685442,113.810119,162.528484,281.669413,546.843746
43,81.694272,113.815719,162.598302,281.922573,546.945785
44,81.764571,113.861731,162.612316,282.053473,547.119913
45,82.102043,115.436563,162.737393,282.494265,547.937566
46,82.756192,116.327586,162.928672,285.073998,549.995901
47,86.891782,121.815821,164.755256,285.774286,552.967494
48,104.963541,121.853225,169.158982,303.05034,567.597467
49,105.454985,140.765994,171.115187,306.618988,579.490212
