,8,16,32,64
0,360.473011,465.550166,575.384888,911.653066
1,360.608455,466.644026,575.904155,911.896596
2,360.617226,466.796169,576.22785,913.38622
3,360.68208,467.004721,576.483411,917.428571
4,361.020193,467.199652,576.549325,918.817724
5,361.125304,467.255615,577.287721,920.728717
6,361.785663,467.652379,577.716141,921.476649
7,361.818844,468.44367,578.485436,921.544355
8,362.085632,469.137171,578.903894,922.349785
9,362.107966,469.288517,579.472173,922.760948
10,362.137759,469.697376,579.551674,923.126584
11,362.634957,469.876015,579.889532,923.952653
12,362.655212,469.905165,580.371568,925.909306
13,362.78336,470.734177,580.665781,926.133702
14,362.78496,470.920975,581.107437,926.405901
15,362.891286,471.068893,581.429763,926.960282
16,362.935026,471.0944,581.651631,929.187619
17,363.025866,471.646286,582.383032,930.269004
18,363.096035,471.972106,583.034897,932.181585
19,363.131712,471.974863,583.308823,932.295987
20,363.237622,472.095743,583.486599,932.359552
21,363.329742,472.126204,584.229571,932.554702
22,363.587318,472.285268,584.479161,933.049282
23,363.828608,472.641998,584.592738,933.15228
24,363.84176,473.264601,584.682554,933.314805
25,363.856446,473.336494,584.901509,933.336391
26,363.913913,473.690862,585.439573,933.822791
27,363.972979,473.763847,585.482225,934.921974
28,364.033837,473.975929,585.497615,936.332501
29,364.114887,474.563678,586.252413,938.750232
30,364.116102,474.660634,586.711155,938.909072
31,364.204638,474.736878,586.866238,940.165213
32,364.307124,474.845732,587.144428,942.10174
33,364.317875,475.010901,587.734447,942.25603
34,364.391309,475.285218,587.912358,943.29024
35,364.537855,475.499656,588.115571,943.742422
36,364.542207,475.745943,588.850191,944.521999
37,364.547039,475.9919,589.076699,946.943249
38,364.676083,476.01721,589.646484,947.093859
39,364.763883,476.153197,589.740799,950.17729
40,365.155975,476.349531,590.372581,951.128264
41,365.228097,476.813456,590.709747,951.40018
42,365.252446,478.029153,590.804925,951.749076
43,365.376691,478.660488,591.460399,952.056568
44,365.394321,481.039992,592.572412,953.277109
45,365.398865,486.315084,594.288287,953.481078
46,366.167631,487.259957,595.914058,956.655316
47,370.330926,493.123373,597.867232,957.98635
48,384.741282,514.158332,609.318125,965.80183
49,390.377917,523.176239,616.258774,975.859093
