,8,16,32,64
0,129.574853,186.700191,284.601907,483.76369
1,130.17899,187.50495,284.6723,484.818064
2,130.229802,187.593262,284.713906,484.872395
3,130.366908,187.626987,284.818527,485.074449
4,130.395514,187.655304,285.130765,485.357047
5,130.410265,187.711811,285.186887,485.440528
6,130.446485,187.725442,285.214373,485.454222
7,130.451894,187.756767,285.214405,485.510537
8,130.453429,187.854613,285.241304,485.535695
9,130.456949,187.855286,285.266912,485.536743
10,130.473811,187.869364,285.269888,485.568548
11,130.513616,187.961356,285.276031,485.773713
12,130.514704,187.989033,285.297491,485.782864
13,130.565387,187.990313,285.41013,485.861129
14,130.582857,188.070722,285.450639,485.878096
15,130.591112,188.071778,285.485484,485.892487
16,130.602952,188.077537,285.488738,485.975199
17,130.609127,188.095423,285.511274,486.045624
18,130.612806,188.124605,285.5673,486.068382
19,130.618854,188.126301,285.568997,486.087804
20,130.649892,188.167641,285.573114,486.09046
21,130.651363,188.186263,285.584771,486.132528
22,130.676544,188.186967,285.614304,486.143215
23,130.735963,188.190199,285.626431,486.146263
24,130.738651,188.226963,285.64083,486.179116
25,130.756762,188.229459,285.667931,486.212809
26,130.764697,188.235315,285.679066,486.222128
27,130.780503,188.268015,285.846123,486.223855
28,130.795893,188.289678,285.881224,486.302569
29,130.844241,188.294893,285.881576,486.312799
30,130.846929,188.297741,285.887655,486.511509
31,130.852625,188.31038,285.899366,486.521205
32,130.911211,188.402115,285.901574,486.635352
33,130.953192,188.418146,285.940387,486.641769
34,130.985893,188.529657,285.99075,486.671719
35,130.988068,188.537911,286.028986,486.799451
36,130.988996,188.714983,286.033177,486.935375
37,131.012994,188.729158,286.078518,487.033509
38,131.040415,188.814974,286.080886,487.076834
39,131.07094,188.997677,286.111602,487.122398
40,131.117496,189.002797,286.150351,487.342434
41,131.168468,189.15811,286.448372,487.544855
42,131.318726,189.189884,286.641538,487.683563
43,131.706499,189.199194,286.829201,487.700137
44,131.848725,189.267029,286.868718,488.842689
45,132.661611,189.26754,287.0575,494.024575
46,134.769355,189.432869,287.276552,494.59605
47,138.58635,190.18272,292.654963,521.829243
48,149.823788,212.603681,325.307233,522.424225
49,166.937969,227.339162,338.91027,597.347964
