,8,16,32,64,128
0,49.266157,69.667659,103.093412,172.824272,319.515766
1,49.334535,69.884568,103.199003,172.844622,319.649958
2,49.347782,70.035274,103.201562,172.883562,319.874133
3,49.488025,70.492224,103.202938,173.006559,320.133305
4,49.52207,70.669967,103.286898,173.037276,320.135581
5,49.531701,70.725962,103.320783,173.04582,320.166746
6,49.548756,70.841568,103.465058,173.06892,320.178521
7,49.580433,71.610778,103.479073,173.293284,320.304618
8,49.684423,71.735855,103.509566,173.339745,320.34241
9,49.689702,71.800713,103.51395,173.365438,320.354089
10,49.743905,72.059345,103.537147,173.449047,320.409444
11,49.770783,72.152009,103.57292,173.526992,320.446592
12,49.817723,72.220898,103.599062,173.527663,320.47059
13,49.910802,72.253983,103.722122,173.535183,320.483162
14,49.91237,72.279837,103.741673,173.557805,320.496537
15,49.918193,72.298971,103.745737,173.613031,320.526105
16,49.947119,72.553668,103.754343,173.657987,320.538681
17,49.977421,72.555939,103.805571,173.6585,320.637487
18,50.035879,72.628349,103.808482,173.673762,320.700394
19,50.068228,72.687512,103.81725,173.690784,320.751429
20,50.090627,72.723925,103.827681,173.690817,320.808703
21,50.135646,72.750098,103.857854,173.737436,320.814463
22,50.140157,72.849097,103.894523,173.777049,320.836765
23,50.144093,72.909604,103.922009,173.805366,320.869594
24,50.177402,72.910659,103.940823,173.867791,320.909654
25,50.436642,72.913219,103.991218,173.918923,320.914166
26,50.670701,72.936321,104.004689,173.935402,320.932789
27,51.189982,72.943745,104.21715,173.949737,320.969937
28,51.508576,72.950304,104.224381,173.979014,320.985328
29,51.793831,73.097043,104.243227,174.028097,321.04609
30,51.862944,73.12184,104.248507,174.035329,321.147809
31,51.963768,73.252421,104.408396,174.088924,321.147969
32,51.992181,73.281921,104.489765,174.116377,321.179358
33,52.782381,73.36457,104.505412,174.14076,321.18227
34,52.924479,73.391288,104.567838,174.151606,321.183293
35,53.265056,73.568583,104.640215,174.214641,321.293396
36,53.299005,73.636577,105.33404,174.218288,321.308978
37,53.389333,73.637089,105.459789,174.350564,321.337615
38,53.411635,73.641024,105.634044,174.402335,321.432355
39,53.476909,73.683868,105.662938,174.459962,321.436359
40,53.841803,73.700987,105.808109,174.516564,321.469987
41,54.280164,74.029949,105.863015,174.695013,321.643251
42,54.517678,74.153458,105.882693,175.052901,321.679056
43,56.934993,74.223083,106.021529,175.413795,321.729484
44,62.055646,74.323939,106.036119,175.922293,321.923897
45,64.247446,74.37859,106.342364,177.474055,322.309879
46,71.411944,74.473461,106.528779,178.656699,322.974678
47,72.5807,84.905501,109.247475,181.091997,330.12411
48,74.367289,95.095611,111.894209,188.514904,353.145693
49,91.522459,103.844701,132.692664,218.152071,372.999337
