,8,16,32,64,128,256
0,168.548947,212.962975,267.187366,418.227559,771.095517,1397.486787
1,168.621488,214.473173,267.862024,423.393587,772.417572,1398.697114
2,168.678731,214.925708,268.309887,423.784363,776.152111,1398.712435
3,169.137886,215.323434,268.592165,423.799758,776.206442,1398.921568
4,169.138273,215.558385,268.818097,424.279008,776.370587,1399.615936
5,169.257078,215.607757,268.940965,424.625246,777.299462,1401.53013
6,169.285233,215.728293,269.165329,425.103762,777.407772,1401.841994
7,169.292592,216.013448,269.197998,425.881517,777.933068,1404.832389
8,169.293008,216.103488,269.369439,426.207533,778.100669,1406.945208
9,169.301167,216.194267,269.381117,426.469622,780.844387,1411.156055
10,169.365482,216.289391,269.445016,426.503603,782.37899,1411.512695
11,169.40519,216.294702,269.480948,426.594221,782.728685,1411.753318
12,169.508892,216.334925,269.563949,426.934955,783.980923,1414.296281
13,169.543001,216.487456,269.85125,427.058592,784.048158,1415.529672
14,169.549244,216.552311,270.149015,427.181496,784.854101,1420.03142
15,169.549624,216.562073,270.362116,427.42307,785.217156,1421.364003
16,169.555576,216.597715,270.382017,427.476761,785.902683,1422.685578
17,169.565719,216.774979,270.452667,427.791965,786.087547,1423.560218
18,169.57679,216.922965,270.579056,427.983115,787.07664,1426.768629
19,169.618578,216.988591,270.593422,428.006411,788.3571,1427.072409
20,169.66107,217.067943,270.743649,428.037096,789.07537,1429.445675
21,169.666385,217.121826,270.774142,428.068195,789.153731,1429.468897
22,169.73012,217.325744,270.992746,428.319244,789.546303,1429.901083
23,169.737255,217.330799,271.4528,428.479262,790.033122,1429.922328
24,169.756614,217.379659,271.655822,428.610228,790.378387,1430.24441
25,169.762597,217.408712,271.758596,428.765957,791.007049,1432.006937
26,169.77338,217.416871,272.510528,428.819295,791.793537,1432.899042
27,169.791106,217.451396,272.757353,428.881627,791.795498,1436.542587
28,169.793923,217.465379,272.792134,428.927159,792.745176,1437.253497
29,169.79853,217.504544,272.828642,429.060809,793.60822,1437.70209
30,169.800548,217.5519,273.234749,429.084903,793.755063,1438.505377
31,169.817184,217.589912,273.450122,429.162272,793.789276,1440.417281
32,169.831806,217.604151,273.587197,429.247256,793.823944,1441.187467
33,169.872347,217.795013,274.018453,430.477706,794.223404,1441.488847
34,169.903992,217.862079,274.258112,430.560578,794.886,1441.584294
35,169.944244,218.021489,274.353527,430.591711,794.912877,1445.212824
36,169.960915,218.121319,274.386164,430.622522,794.989998,1448.866876
37,169.991472,218.135526,274.443342,431.508331,795.481969,1451.593698
38,170.074984,218.292087,274.446446,431.674012,795.537228,1452.504686
39,170.133091,218.37144,274.491082,431.698042,796.871377,1452.828938
40,170.166756,218.587516,274.55312,431.900839,798.167707,1452.853634
41,170.225339,218.63196,274.805741,431.909703,798.658455,1452.960536
42,170.358862,218.835878,275.065366,431.921733,798.806697,1453.15154
43,170.377357,218.840134,275.28253,431.946212,799.205052,1454.689786
44,170.480739,218.849636,275.461873,432.984421,799.69896,1454.705273
45,171.070128,218.867652,275.729145,433.198769,801.21067,1455.164783
46,175.454588,220.147182,275.806802,433.394399,803.19932,1455.263558
47,178.323446,224.673872,276.173873,436.231578,804.378679,1456.549564
48,180.821269,242.834457,277.302186,456.560674,811.369332,1463.113267
49,212.994217,251.925035,338.74742,468.675237,818.77172,1471.529478
