,8,16,32
0,586.726993,748.32131,970.907801
1,587.053459,748.865279,970.914809
2,587.177096,749.377937,971.380462
3,587.493165,749.424493,971.649525
4,587.534503,749.427148,971.969496
5,587.66678,749.443851,972.495272
6,587.846987,749.487431,973.232576
7,588.041881,749.650777,973.961378
8,588.562442,749.87162,974.445974
9,588.733082,750.057107,979.522728
10,589.152757,750.551622,980.339004
11,589.228877,750.605621,980.555395
12,589.291463,750.732329,980.594532
13,589.546672,750.838316,982.91278
14,590.042021,751.022288,985.657175
15,591.382027,751.456328,986.917663
16,592.033678,751.798184,987.094766
17,592.514914,751.943835,989.368575
18,592.630008,752.218318,991.221589
19,592.657203,754.020669,991.419587
20,593.170633,754.971942,992.510848
21,593.959041,756.660665,992.83412
22,594.226791,756.841596,993.936803
23,594.305857,757.107568,994.302049
24,594.747415,759.372309,994.677119
25,594.955398,759.638473,995.282727
26,594.959459,759.956108,995.415355
27,594.978052,760.410306,996.13081
28,595.068377,760.417845,996.712426
29,595.519987,760.628034,997.142682
30,595.701984,761.698573,999.295705
31,595.879121,762.169602,1000.466409
32,596.051872,766.36621,1000.975995
33,596.360705,767.093263,1001.560122
34,597.642348,767.462142,1007.337141
35,597.847737,768.432742,1007.348948
36,598.262357,769.082362,1007.748751
37,599.547936,769.397037,1008.402004
38,599.575166,769.428574,1008.927354
39,599.689622,769.84754,1009.339422
40,600.529798,770.171414,1010.791165
41,600.576482,771.293744,1013.263575
42,601.353915,771.525883,1013.875875
43,602.409437,772.221547,1014.901957
44,603.708678,772.502306,1015.187467
45,605.233914,774.661852,1015.310367
46,605.454887,786.939528,1015.735344
47,616.716159,788.141797,1015.916776
48,636.270009,788.511363,1017.408672
49,636.300338,799.209382,1026.349545
