,8,16,32,64,128,256
0,71.598163,85.775745,107.619384,162.070664,289.569076,519.849441
1,71.794368,86.319472,107.690066,162.177983,289.963633,523.146579
2,72.073286,86.617076,108.015956,162.329361,290.704908,523.557518
3,72.073734,87.132613,108.165798,162.378604,291.655955,523.957801
4,72.080326,87.232125,108.234688,162.494242,291.904831,525.349739
5,72.328431,87.424427,108.372307,162.646836,292.54589,525.632401
6,72.532829,87.479749,108.441837,162.743371,292.761265,525.933862
7,72.622292,87.711568,108.582976,162.921595,292.92291,526.028429
8,72.832962,87.775338,108.715893,163.119657,293.22743,526.126756
9,73.008049,87.845604,108.851944,163.140263,293.332925,526.256824
10,73.149221,88.447917,108.977821,163.268475,293.341147,526.505409
11,73.904543,88.508168,109.027576,163.366642,293.677949,526.62015
12,75.07522,88.983964,109.053397,163.421037,293.791603,526.653332
13,75.107345,89.177611,109.282785,163.439788,293.837614,527.030033
14,75.163085,89.234693,109.383799,163.60422,293.93319,527.470409
15,75.255908,89.397942,109.451249,163.670902,294.172143,527.509207
16,75.389048,90.027485,109.536937,163.857989,294.262949,527.857766
17,75.406359,90.998947,109.582469,163.98041,294.265608,527.995801
18,75.852717,91.603021,109.767892,163.99049,294.340286,528.053523
19,76.036412,91.865684,109.994431,164.02431,294.356831,528.213259
20,76.510225,92.033766,110.016254,164.037205,294.435316,528.754003
21,76.76521,92.231507,110.23185,164.047412,294.467602,528.789281
22,76.79148,92.280015,110.246377,164.11291,294.601737,529.092134
23,77.124761,92.333482,110.497617,164.123373,294.8285,529.188829
24,77.218929,93.000205,110.574474,164.133036,294.839155,529.450854
25,77.489847,93.195771,110.612455,164.211813,294.856721,529.537757
26,77.614765,93.362892,110.850033,164.315292,294.909996,529.636361
27,79.168191,93.563257,111.156629,164.465197,295.011523,529.961143
28,80.31583,93.603766,111.207217,164.475981,295.127128,530.177635
29,80.343955,93.99365,111.350051,164.514537,295.375586,530.552609
30,80.413677,94.145573,111.393471,164.584515,295.393568,530.610811
31,80.546816,94.315861,111.478168,164.601473,295.410655,531.195932
32,80.743439,94.698066,111.608332,164.700697,295.436797,531.274079
33,80.932413,94.783562,111.656551,164.736437,295.648457,532.023547
34,81.194758,95.011605,111.667655,164.842859,295.756831,532.045805
35,81.295708,95.069967,111.787483,164.854314,296.16169,532.54752
36,81.334456,95.186341,111.861653,165.087029,296.245842,533.812492
37,81.439311,95.585025,111.95758,165.094676,296.461951,534.16862
38,81.688824,95.608799,112.243282,165.373882,296.941939,534.900692
39,81.783247,95.827242,112.300205,165.397113,296.948627,534.983842
40,82.234534,95.885413,112.383941,166.450745,297.045257,535.580836
41,82.423509,95.890757,113.06887,166.85234,297.200316,536.603816
42,82.466641,96.018585,113.233015,166.905263,297.334831,536.708559
43,82.506957,96.303231,113.334286,166.92539,297.38977,537.109002
44,84.695909,96.462161,113.385802,167.021412,297.575738,537.370568
45,86.058537,96.549608,113.514718,167.08339,297.785702,537.419044
46,86.654898,97.009534,113.640466,168.373865,298.040175,538.002745
47,91.969261,111.334786,115.387794,173.239244,303.586385,538.440753
48,102.013303,134.489853,154.248245,174.546197,331.289886,554.847911
49,131.788183,148.521883,157.078194,195.322288,351.656814,572.566722
