,8,16,32,64,128,256
0,28.11827,35.628338,53.573519,88.435411,156.522034,302.109275
1,28.389126,35.777061,53.684421,88.453746,156.571469,302.227473
2,28.403812,35.802595,53.696644,88.477744,156.694786,302.334087
3,28.462207,36.090728,54.012584,88.530475,156.714912,302.757248
4,28.675084,36.245306,54.199926,88.590214,156.78809,303.03516
5,28.702345,36.301205,54.277616,88.652288,156.962601,303.086675
6,28.767299,36.533056,54.713511,88.721881,157.103453,303.103314
7,28.965297,36.534559,54.854171,88.768118,157.120923,303.176843
8,29.357677,36.70616,55.163615,88.800339,157.350278,303.184587
9,29.461828,36.758348,55.289939,88.803955,157.428158,303.193514
10,29.680624,36.899806,55.35099,88.89089,158.17465,303.21956
11,29.985044,37.051376,55.362284,88.96714,158.45341,303.230901
12,30.781388,37.201795,55.489377,88.993793,158.473023,303.236966
13,30.935742,37.350038,55.526237,89.016831,158.604404,303.239142
14,31.551909,37.38693,55.664241,89.069274,158.875739,303.247909
15,31.559813,37.557315,56.20224,89.082041,158.994576,303.330909
16,31.914372,37.653914,56.216863,89.106167,159.193885,303.401496
17,32.065206,37.877061,56.393583,89.139443,159.337233,303.470641
18,32.142,37.931905,56.432395,89.146515,159.563964,303.493711
19,32.382841,37.992123,56.475559,89.156978,159.575003,303.517228
20,32.385721,38.047446,56.596636,89.191439,159.731117,303.534923
21,32.449011,38.056789,56.648631,89.215372,159.91174,303.537162
22,32.522157,38.153261,56.777483,89.24865,159.953976,303.570663
23,32.705053,38.244964,56.796426,89.260808,159.996245,303.618627
24,32.993442,38.707226,56.85834,89.267528,160.079212,303.622691
25,33.011744,38.805969,56.962202,89.278695,160.079917,303.644289
26,33.566766,39.178511,57.151561,89.300325,160.139879,303.743992
27,35.514172,39.181103,57.209412,89.335074,160.147046,303.842735
28,35.80653,39.363838,57.256672,89.335714,160.149222,303.923527
29,36.759979,39.432408,57.320091,89.354015,160.18525,303.929639
30,36.922716,39.708255,57.373845,89.35664,160.195554,303.960036
31,37.679287,40.886228,57.377973,89.385757,160.219328,303.989442
32,39.003039,41.097952,57.640317,89.386781,160.277851,304.018943
33,39.074072,41.113087,57.658044,89.393564,160.28761,304.199631
34,39.771641,41.394533,57.662331,89.408251,160.300568,304.229387
35,39.91806,41.733606,57.755378,89.429625,160.342005,304.272744
36,40.25854,43.597596,57.922307,89.458486,160.356308,304.304004
37,40.263083,44.249985,57.949953,89.500339,160.412302,304.364959
38,40.304584,44.947809,58.014779,89.551246,160.419245,304.592907
39,40.321926,45.701917,58.113458,89.595786,160.470281,304.660036
40,40.607373,45.95815,58.380377,89.603017,160.480072,304.684962
41,41.884089,46.415836,58.482288,89.622759,160.601245,304.698112
42,42.106244,46.678276,58.695036,89.689698,160.677397,304.845811
43,42.736907,46.817175,58.748056,91.4496,160.726834,305.537812
44,43.032079,50.680343,58.846575,91.702473,160.862085,305.578417
45,44.048467,50.761296,68.128034,92.549564,160.920865,308.282905
46,44.254304,50.784814,69.466727,97.99022,160.979354,308.317413
47,44.568707,53.753791,70.650268,99.860224,161.262112,316.213958
48,45.455858,54.254354,71.235303,106.028557,168.532713,339.626709
49,48.737288,54.554838,80.039621,148.599933,195.087608,353.729894
