,8,16,32,64,128,256
0,21.750018,22.840253,31.089098,47.61274,83.708097,154.516381
1,22.322926,22.850941,31.125895,48.145427,83.842805,154.530748
2,23.35704,24.043376,31.307127,48.173041,84.36231,154.682286
3,23.489923,24.160837,31.614299,48.195056,84.46822,154.779909
4,23.952153,24.833319,32.100975,48.358497,84.618574,154.827617
5,24.008532,24.957468,32.214596,48.455608,84.680489,155.011855
6,24.064303,25.052467,32.350776,48.492021,84.691879,155.205438
7,24.130601,25.080017,32.449167,48.682147,84.806013,155.247995
8,24.25171,25.359384,32.638686,48.7136,84.852825,155.414411
9,24.285307,25.817261,32.715926,48.714048,84.973006,155.420042
10,24.34175,25.897414,32.728085,48.749917,85.111329,155.429065
11,24.448013,25.926564,33.17198,48.756284,85.237238,155.603546
12,24.540611,26.064152,33.207913,48.813015,85.751015,155.64303
13,24.588863,26.369851,33.42447,48.980295,86.962456,155.651957
14,24.749968,26.776311,33.748728,49.438877,87.002485,155.779274
15,24.7572,26.874062,33.75404,49.581616,87.117898,155.821669
16,24.830345,27.294311,33.833744,49.71738,87.121738,155.914494
17,24.840937,27.315462,33.899402,49.995371,87.18714,155.931004
18,24.990203,27.34397,33.969956,50.158652,87.383858,156.100588
19,25.016217,27.471575,34.634087,50.368296,87.445516,156.120298
20,25.128942,27.533617,34.689635,50.398598,87.554658,156.214402
21,25.257346,27.533841,34.703937,50.46912,87.593503,156.568577
22,25.310526,27.583309,34.783449,50.482654,87.623516,156.668248
23,25.404981,27.626761,35.005861,50.560087,87.916385,156.87831
24,25.70073,27.701346,35.019076,50.617266,87.981723,157.060469
25,25.740855,27.739038,35.109468,50.815136,88.022455,157.13563
26,25.764596,27.900527,35.440318,50.826335,88.115887,157.165387
27,25.990719,28.038724,35.540053,50.901593,88.117615,157.781875
28,26.003742,28.881494,35.567378,50.932181,88.127182,158.048762
29,26.067192,28.88415,36.161852,51.123299,88.178346,158.377692
30,26.455029,29.411078,36.282673,51.16576,88.197032,158.454517
31,27.042496,29.471041,36.439779,51.304916,88.216421,158.545389
32,27.380641,29.603541,36.671022,51.422953,88.235651,158.566763
33,27.496119,29.61298,36.806561,51.656147,88.403508,158.581194
34,27.617708,29.849438,36.944181,51.925339,88.408948,158.70899
35,27.725314,29.896634,37.951321,52.137607,88.499851,158.952455
36,28.040229,30.032429,38.06203,52.28633,88.537512,159.152181
37,29.10266,30.149954,38.179523,52.414894,88.569798,159.17266
38,29.290003,30.203805,38.304633,52.461545,88.628672,159.296008
39,29.412456,30.487843,38.338742,52.646841,88.851148,159.312391
40,29.425607,30.55315,38.684822,52.669239,89.11442,159.358243
41,29.597591,30.96668,38.937662,52.815049,89.117812,159.416957
42,29.920665,31.028595,41.567247,53.119758,89.336479,159.440443
43,31.097071,31.277564,42.642637,53.251137,89.553836,159.597101
44,31.109037,31.487913,42.992461,54.569897,92.63589,159.651656
45,33.152659,31.948607,43.421125,58.201854,93.128677,159.797659
46,33.51253,32.56727,44.578492,59.052624,93.427082,159.843734
47,36.57286,34.444219,45.032467,59.602845,95.506155,161.589591
48,36.756938,35.710695,49.04458,59.777453,100.455464,172.975463
49,37.109035,37.288056,51.506371,62.201009,136.103823,198.800446
