,8,16,32
0,383.184478,501.100766,695.39159
1,383.594744,504.170629,696.092454
2,383.808549,505.099976,697.388578
3,383.812323,505.198367,698.467712
4,383.962615,505.350644,699.127459
5,384.262011,505.362864,699.459525
6,384.382511,505.521572,700.313367
7,384.385584,506.008085,700.489557
8,384.457833,506.025622,701.175496
9,384.476263,506.104725,702.606758
10,384.763309,506.325016,702.617974
11,384.811401,506.334048,702.897035
12,384.817384,506.516554,702.973814
13,384.893889,506.587584,703.016256
14,385.067058,506.620608,703.065276
15,385.09307,506.653469,703.787084
16,385.276768,506.680056,703.887697
17,385.317562,506.683706,704.013158
18,385.478092,506.787665,704.024805
19,385.596195,506.862407,704.312284
20,385.699671,506.947458,704.698009
21,385.963072,507.055097,704.784337
22,386.133778,507.081427,705.565072
23,386.207625,507.209514,705.766264
24,386.229897,507.211274,706.049597
25,386.26362,507.217897,706.136405
26,386.380122,507.485745,706.919725
27,386.42713,507.495949,707.133914
28,386.478992,507.637216,707.302417
29,386.727547,507.842254,707.507576
30,386.740987,507.862191,707.925554
31,386.956519,507.971362,708.754636
32,387.096695,508.280616,709.155048
33,387.186033,508.451896,709.2799
34,387.228142,508.975526,709.319417
35,387.343361,509.017509,709.355349
36,387.48834,509.18725,709.934656
37,387.950794,509.820888,710.002587
38,387.990984,510.227892,710.2481
39,388.012934,510.242642,710.949572
40,388.05773,510.268496,710.987585
41,388.192694,510.436865,711.441015
42,388.347016,511.513502,711.876879
43,388.462397,511.538076,713.12611
44,389.032776,511.647762,713.94869
45,389.361195,512.590716,714.891964
46,389.509949,512.938012,720.954752
47,390.462214,524.551687,732.260885
48,392.10507,541.424722,746.149247
49,436.939129,541.938867,757.871588
