,amazon-photo,pubmed,amazon-computers,flickr,com-amazon
0,2249.90966796875,773.50732421875,4750.373046875,6398.64404296875,3554.06494140625
1,2374.07666015625,908.00244140625,5005.9423828125,7642.49853515625,5038.49609375
2,2952.0732421875,1216.37939453125,6137.3935546875,10396.97265625,8671.896484375
3,4306.61865234375,1833.35498046875,8925.3154296875,,
4,7017.60546875,3062.87548828125,,,
