,memory,diff_memory
478,96616960,39214080
479,77728768,20222976
480,81113600,23875072
481,101813760,44535296
482,84889600,27281920
483,78657024,21323264
484,89846784,32587776
485,75294720,17882624
486,85360640,28144640
487,75100160,17752576
488,121546752,64332288
489,150870528,92934144
490,133806592,75336192
491,109445120,51324928
492,104070656,46362112
493,92024320,34412032
494,99693568,42269184
495,101586432,44046336
496,109699072,52092928
497,90333696,32592896
498,88959488,31537664
499,101010432,43616256
500,87121920,29532672
501,93224448,35850240
502,98443264,40981504
503,92722176,35169792
504,93864448,36416512
505,97145344,39674368
506,90612224,33091072
507,106102272,48672768
508,96504320,38848000
509,97243136,39738880
510,90481152,32961536
511,77708800,20288512
512,96013824,38775296
513,88881152,31391744
514,85413888,28019712
515,75052032,17702400
516,78975488,21763072
517,72775680,15513600
518,116045824,58862592
519,163010560,105128448
520,121035264,62292480
521,121335296,63428096
522,112979456,55081472
523,108112384,50341888
524,99455488,41787904
525,98372608,40844800
526,100771328,43239424
527,96510976,38937600
528,98330624,40824832
529,86531072,28990976
530,93880832,36516352
531,90841088,33369088
532,89615872,32186880
533,92591104,35181568
534,85683200,28236800
535,100851712,43494912
536,92419072,34835968
537,89166848,31727104
538,89019904,31617024
539,92733952,35336704
540,86985216,29531136
541,83755520,26384384
542,86147072,28811264
543,77466624,20098560
544,79606784,22375936
545,83159552,25884160
546,83112960,25793024
547,94617600,37294080
548,84301312,26818560
549,143972864,86615552
550,140653056,82335744
551,136455168,78233088
552,122007552,63803904
553,124595712,66682368
554,111383552,53416448
555,99882496,42163200
556,86228480,28685824
557,85091328,27734528
558,97537536,40198656
559,77885952,20360192
560,88830464,31587328
561,112180736,54788608
562,101727744,43974656
563,104494592,46913024
564,85627392,27991040
565,81973760,24623104
566,78557696,21255680
567,88969728,31710720
568,94138368,36742656
569,83604992,26122240
570,96991744,39667200
571,96819200,39299072
572,81208832,23692288
573,82279936,24998400
574,81676288,24369664
575,83518464,26219520
576,83044352,25715200
577,85623296,28298240
578,92569600,35210752
579,165671424,108224000
580,138596864,79844864
581,113845248,55612928
582,123890688,66111488
583,118433792,60497920
584,91900928,34027520
585,85742592,28323840
586,100447744,43098112
587,101189120,43622912
588,89586688,32011776
589,99755520,42348032
590,114531328,56990208
591,98004480,40178688
592,84843008,27300352
593,106942464,49612800
594,93492224,35822080
595,82053120,24590336
596,106018304,48714752
597,93576704,35906560
598,85973504,28493312
599,92957696,35601920
600,93229568,35776000
601,87442432,29971968
602,73385984,16004096
603,78575616,21384192
604,96944640,39687680
605,74209280,16683520
606,83698688,26495488
607,91173376,33838080
608,70886400,13447680
609,162893312,105732608
610,125839872,67117568
611,128148992,70177792
612,104150528,46138880
613,97111552,39496704
614,110078976,52568064
615,86396416,28650496
616,104832000,47470080
617,96111616,38462976
618,106460160,48970752
619,103344640,45683712
620,92538880,34900992
621,108740096,51295232
622,110041088,52332544
623,94100480,36377600
624,101044736,43564544
625,93858816,36274688
626,92260864,34788352
627,86367744,28934144
628,89635840,32272384
629,82183168,24778240
630,97012736,39705088
631,90921984,33396224
632,82799616,25369088
633,92401664,35086336
634,84905984,27467264
635,74202624,16868352
636,75414016,18211840
637,87443968,30226944
638,77598720,20216832
639,133080576,75846144
640,143669248,85469184
641,119099904,60807168
642,112524800,54688256
643,103465472,45705728
644,113992192,56399872
645,112271360,54493184
646,88601600,30844928
647,108214272,50830848
648,97726976,40043008
649,94523904,36989952
650,106111488,48627200
651,96654848,38977024
652,112091648,54580736
653,88897536,31149056
654,101312000,43919360
655,89553408,31956992
656,81460736,24049664
657,108424192,51134464
658,107881984,50187264
659,77756416,20029440
660,91313152,34074112
661,91034624,33594368
662,101367296,43938304
663,81745920,24160256
664,75183616,17885184
665,85384704,28168704
666,74271744,16917504
667,73837056,16634880
668,85965824,28768256
669,121479680,64119296
670,153341952,95399424
671,121567744,63073792
