,loss,memory,diff_memory
0,2.30460524559021,7305216,7102976
1,2.249228000640869,8024576,4597248
2,2.2047224044799805,7822848,4408832
3,2.1290087699890137,7886848,4470784
4,2.1345441341400146,8180736,4797440
5,2.135648727416992,7926272,4492800
6,2.0806827545166016,7894528,4491264
7,2.0263166427612305,7764992,4332544
8,2.0175414085388184,8501760,5137408
9,2.0050292015075684,8537088,5087232
10,2.1157429218292236,7856128,4385280
11,1.8868459463119507,8280064,4862976
12,1.8671259880065918,8178688,4737536
13,1.9205529689788818,7937536,4521984
14,2.0900821685791016,8072704,4694528
15,1.9914802312850952,7953408,4500480
16,2.111297130584717,5535232,2110464
17,1.9634515047073364,8071168,7262208
18,2.0016942024230957,8047104,4587520
19,1.992114543914795,7879680,4468736
20,1.9475769996643066,8181760,4804608
21,1.997341275215149,7801344,4364800
22,1.8709847927093506,8076288,4673536
23,1.9669536352157593,8245760,4808192
24,1.9555493593215942,7881216,4448256
25,2.14237642288208,7654400,4224000
26,1.9114371538162231,7947776,4513280
27,1.9328168630599976,8128512,4760064
28,1.9204515218734741,8182784,4772864
29,1.9458576440811157,8060928,4612096
30,2.178171157836914,7809024,4395520
31,1.9718871116638184,8467456,5058048
32,2.027824640274048,8344064,4938240
33,2.0824732780456543,5511168,2057216
34,1.9321131706237793,8190976,7382016
35,1.8641685247421265,7984640,4542976
36,1.8881462812423706,8156672,4796416
37,1.7815334796905518,8191488,4746240
38,1.9019759893417358,8090624,4697600
39,1.8809502124786377,7826432,4428288
