,loss,memory,diff_memory
0,2.292341709136963,6008832,5089280
1,2.301314353942871,7994368,3867136
2,2.3127293586730957,8403456,4303360
3,2.280651092529297,8010752,3893760
4,2.221391439437866,8206848,4099584
5,2.103511095046997,8727040,4606976
6,2.0909841060638428,8402432,4287488
7,2.157801389694214,7960064,3839488
8,1.9670960903167725,7741440,3626496
9,1.936166763305664,8701952,4591104
10,1.4222468137741089,8244736,4115968
11,2.786386728286743,8366592,4253696
12,2.079272985458374,7812608,3698688
13,1.94081711769104,8205312,4093952
14,2.117825746536255,8227328,4107776
15,1.7629518508911133,8349184,4241408
16,2.1359236240386963,8297984,4171264
17,2.049579381942749,8653824,4534784
18,2.0213725566864014,7921664,3809280
19,1.9763166904449463,8423424,4305920
20,1.7885020971298218,8172032,4061184
21,1.864268183708191,8474112,4354560
22,1.998118281364441,8100352,3974656
23,1.8119289875030518,8192000,4063744
24,1.7915135622024536,8193024,4070400
25,2.0181052684783936,8047616,3932160
26,1.8691575527191162,8265728,4154880
27,2.1545603275299072,8278528,4168704
28,2.001526355743408,8241664,4133888
29,1.824659824371338,8830976,4710912
30,1.5961940288543701,8782336,4639232
31,2.0500359535217285,7963136,3838464
32,2.496941089630127,8388096,4283904
33,1.3683547973632812,8227328,4110336
34,2.2637202739715576,8723456,4601856
35,2.130645751953125,8032768,3901440
36,2.314800262451172,7945728,3835392
37,1.895822525024414,8347648,4257280
38,1.8764383792877197,8098816,3990528
39,2.0451903343200684,8924160,4804608
