,loss,memory,diff_memory
0,2.3047826290130615,6488064,6285824
1,2.2507526874542236,7237120,4092928
2,2.203702211380005,7009792,3875840
3,2.153613328933716,6980608,3865600
4,2.092888593673706,7184384,4081664
5,2.099090576171875,7304192,4191232
6,2.110452651977539,7037952,3890176
7,2.094677448272705,7087104,3966976
8,2.0476887226104736,6967296,3834880
9,2.0779831409454346,7521280,4442112
10,1.9982640743255615,7687168,4533760
11,2.1901800632476807,7238144,4064256
12,1.9287141561508179,7022592,3866624
13,1.9070932865142822,7437824,4318720
14,1.859946846961975,7583232,4455936
15,1.9959007501602173,7018496,3858432
16,2.0130953788757324,7282688,4210176
17,2.0059194564819336,7096832,3930624
18,2.0920231342315674,5529600,2395648
19,1.96383798122406,7186432,6377472
20,1.9648358821868896,7134208,3976192
21,2.108128070831299,7225344,4074496
22,1.9795451164245605,7253504,4155392
23,1.8575114011764526,7084032,3971072
24,1.9399101734161377,7188480,4067840
25,1.8367741107940674,7197184,4067328
26,2.0101003646850586,7321600,4174336
27,1.885039210319519,7102976,3962368
28,2.069243907928467,6885888,3745280
29,1.9545586109161377,7096832,3956736
30,1.9256129264831543,7212544,4129280
31,1.915734887123108,7171072,4044800
32,1.8236638307571411,7463936,4340224
33,2.0773186683654785,7026688,3858944
34,2.0566930770874023,7047680,3947008
35,2.02941632270813,7715840,4618240
36,1.9763567447662354,7374848,4216320
37,2.052802085876465,5504000,2347520
38,1.9733574390411377,7351296,6542336
39,1.891741394996643,7008256,3857408
