,loss,memory,diff_memory
0,2.0802054405212402,3621376,3425280
1,2.0582435131073,4510720,2477056
2,2.0474679470062256,4138496,2038784
3,1.9909464120864868,4432896,2420224
4,2.0183205604553223,4123648,2076160
5,2.0523250102996826,4261888,2246144
6,2.0115718841552734,4157952,2130432
7,1.9951575994491577,4384256,2331648
8,1.931176781654358,4364288,2326016
9,2.0394623279571533,4353024,2315776
10,1.9184679985046387,4045824,1981952
11,1.988360047340393,4038656,2063360
12,1.9817906618118286,4221952,2228736
13,1.8876621723175049,4015616,1958912
14,1.9312185049057007,4263936,2252288
15,1.948098063468933,4057600,1995264
16,1.9033335447311401,4319232,2338816
17,1.9603381156921387,4245504,2190848
18,1.929133653640747,3338752,1282048
19,1.9409329891204834,3981824,3197440
20,1.8907305002212524,4022272,2056704
21,1.9774768352508545,4211200,2235392
22,2.0057902336120605,4260352,2242560
23,1.8805782794952393,4388864,2327040
24,1.900987982749939,4071424,1998848
25,1.9017724990844727,4302848,2264576
26,1.9070229530334473,4254208,2222080
27,1.9393346309661865,4209664,2171392
28,1.8477764129638672,4231680,2205184
29,1.8714207410812378,4294656,2232320
30,1.996461272239685,4335616,2304000
31,1.9921609163284302,4191232,2150912
32,1.8994271755218506,4122624,2071552
33,1.9857909679412842,4169216,2151936
34,1.9374115467071533,4198912,2164736
35,1.8550119400024414,4405760,2361344
36,2.03019118309021,4165120,2088960
37,1.8459713459014893,3454464,1449984
38,1.865570306777954,4283392,3499008
39,1.9748785495758057,4441088,2398720
