,loss,memory,diff_memory
0,1.0984241962432861,2430976,2300928
1,1.0879011154174805,2871296,798208
2,1.0797135829925537,2801152,712192
3,1.065510869026184,2843136,782336
4,1.0594347715377808,2810880,743936
5,1.058269739151001,2829824,781312
6,1.0525009632110596,2774528,706048
7,1.0503168106079102,2824704,791040
8,1.0379894971847534,2863616,815104
9,1.051069736480713,2840576,775168
10,1.0304794311523438,2836480,761856
11,1.0399558544158936,2865664,791552
12,1.019370198249817,2850816,773120
13,1.029881238937378,2827264,748544
14,1.0139046907424927,2846720,784896
15,1.016202688217163,2890240,824832
16,0.9967786073684692,2820096,749568
17,0.981549084186554,2845184,773632
18,0.9861763715744019,2804736,736256
19,0.9750843048095703,2788352,734208
20,0.9558239579200745,2792960,757248
21,0.9924949407577515,2808320,753664
22,0.9610653519630432,2800640,735744
23,0.9399837255477905,2853376,798720
24,0.9628092646598816,2826752,759808
25,0.9661691784858704,2744320,2224128
26,0.9465020895004272,2809344,769024
27,0.9295441508293152,2847232,787456
28,0.9163941740989685,2844160,778752
29,0.9379372000694275,2858496,797184
30,0.9037140607833862,2873856,806912
31,0.8894555568695068,2836992,771072
32,0.9069034457206726,2854400,785920
33,0.8917962908744812,2852352,798208
34,0.8738819360733032,2868736,805376
35,0.8940784335136414,2827776,756736
36,0.8102673292160034,2831360,759296
37,0.8912959694862366,2799104,754176
38,0.9196734428405762,2812416,749568
39,0.8518431782722473,2810368,737280
