,loss,memory,diff_memory
0,2.31026291847229,52845568,51926016
1,2.2854459285736084,54887424,46846464
2,2.269075632095337,58378240,50347520
3,2.253012180328369,60858368,52773376
4,2.2015533447265625,56033280,47993344
5,2.104339838027954,66728960,58696704
6,2.1182563304901123,58703872,50615296
7,2.024096727371216,56323072,48292864
8,1.8613413572311401,58411008,50422784
9,2.0877127647399902,54811136,46832128
10,1.9320478439331055,66541056,62862848
11,1.8544378280639648,51757568,43671040
12,1.9583756923675537,55415808,47407616
13,1.894991397857666,54583296,46533120
14,1.896674394607544,55451648,47444992
15,1.9143213033676147,63099392,55048704
16,1.9377789497375488,58298368,50241024
17,1.9058133363723755,58431488,50407936
18,1.741779088973999,61117440,53132288
19,1.8088046312332153,57552384,49475584
20,1.8777964115142822,54781440,51103232
21,1.9300897121429443,60745216,52737536
22,1.852758526802063,70365184,62275584
23,1.6925581693649292,60328448,52241920
24,1.7240197658538818,60169728,52094976
25,1.794567584991455,54419456,46388224
26,1.9197593927383423,53209600,45172736
27,1.815049409866333,56820736,48825344
28,1.9448237419128418,57499648,49505280
29,1.8262457847595215,54727680,46723584
30,1.9448434114456177,55833088,52154880
31,1.9301689863204956,56309760,48276480
32,1.7942503690719604,58753024,50693632
33,1.844443678855896,57108992,49106944
34,1.8129526376724243,56116224,48127488
35,1.7605677843093872,60137984,52109312
36,1.7769029140472412,63828480,55777792
37,1.9003463983535767,52404224,44332032
38,1.7408783435821533,62987264,54971904
39,1.6139618158340454,60340224,52296192
