,loss,memory,diff_memory
0,2.3050694465637207,186459648,186257408
1,2.2392280101776123,187935232,149121536
2,2.1786468029022217,186307072,146978816
3,2.107071876525879,190643712,151343616
4,2.0527408123016357,188715008,149088768
5,1.9822514057159424,188112384,148524544
6,1.9326720237731934,187412480,148272128
7,1.9199782609939575,187821568,149210624
8,1.9335689544677734,133851648,94238720
9,1.9239962100982666,188017152,187208192
10,1.9476184844970703,189906944,151222784
11,1.9207038879394531,187005952,147269632
12,1.8794742822647095,187517952,148272128
13,1.9134596586227417,188007424,148640768
14,1.8863064050674438,188520448,149083648
15,1.9318645000457764,186611200,147035648
16,1.948900818824768,188932608,149522944
17,1.8738535642623901,130540032,90894848
18,1.9257146120071411,186710528,185901568
19,1.9023995399475098,185991168,147173376
20,1.898627519607544,189425152,150338048
21,1.8841848373413086,184993280,145504256
22,1.8734588623046875,187980288,149511168
23,1.85964834690094,188534784,149042688
24,1.8925946950912476,191033344,152255488
25,1.9169849157333374,188360192,148799488
26,1.8138710260391235,128247808,89057792
27,1.8524929285049438,187478016,186669056
28,1.8840008974075317,186498048,148007424
29,1.8857728242874146,189558272,151069696
30,1.9176231622695923,189682176,149833728
31,1.910364031791687,190215168,150763008
32,1.8834247589111328,186487808,146875904
33,1.8525885343551636,190564864,151544832
34,1.850738763809204,187357184,147357184
35,1.8469125032424927,128571392,89396736
36,1.8707939386367798,187396096,186587136
37,1.8626995086669922,187053056,148324352
38,1.865189790725708,188772352,149379072
39,1.8711273670196533,186531840,147020288
