,loss,memory,diff_memory
0,1.0971516370773315,6750720,6618624
1,1.0739049911499023,6967808,4350464
2,1.0595653057098389,7094272,4513792
3,1.030373215675354,7056896,4461056
4,1.0578083992004395,6958592,4359680
5,1.0713162422180176,6974976,4385280
6,1.0248308181762695,6919680,4350464
7,0.9846846461296082,6995456,4409856
8,1.009353756904602,6980608,4407808
9,1.0278292894363403,6890496,4301312
10,0.9754840731620789,6989312,4418048
11,0.9498952627182007,6857216,4284416
12,0.9770344495773315,7014912,4471296
13,0.9915191531181335,7016960,4427264
14,0.9555145502090454,7137280,4559872
15,0.9495200514793396,7058944,4450304
16,0.9290280938148499,6966784,4372480
17,0.9273855686187744,7055872,4468224
18,0.9042827486991882,5405696,2809856
19,0.9236785173416138,6907904,6379520
20,0.8923788070678711,7057408,4462080
21,0.8847324252128601,7127040,4538880
22,0.8817950487136841,6914560,4313600
23,0.910715639591217,6966272,4388864
24,0.8376272320747375,7104512,4537856
25,0.8665440082550049,6965760,4372480
26,0.8877498507499695,7017984,4433408
27,0.8976203799247742,6976512,4392960
28,0.8180685043334961,7075840,4510208
29,0.8574650287628174,7003648,4412928
30,0.8869717717170715,6993408,4404736
31,0.8752520680427551,6998528,4402176
32,0.875935971736908,7012352,4439552
33,0.8146944046020508,6901760,4305408
34,0.8485574722290039,7076352,4530688
35,0.8136891722679138,7063040,4459008
36,0.8726465106010437,6974464,4375040
37,0.7958167195320129,5439488,2850816
38,0.8515435457229614,7067648,6539264
39,0.8007541298866272,7147520,4547072
