,loss,memory,diff_memory
0,2.3062431812286377,8657920,8325632
1,2.170584201812744,9708544,5770752
2,1.8309742212295532,9708032,5756416
3,2.0113580226898193,9737728,5788672
4,1.7009143829345703,9581056,5618688
5,2.1618614196777344,9615360,5706752
6,1.9410016536712646,9613312,5694464
7,2.0434114933013916,9629696,5715456
8,1.9120464324951172,9640448,5721600
9,1.926135778427124,9737216,5808128
10,1.7932653427124023,9533952,5576704
11,1.9741536378860474,9666048,5775872
12,1.7330657243728638,9824256,5884416
13,1.7287335395812988,9678848,5686784
14,1.7457325458526611,9703424,5768704
15,1.7171341180801392,9704448,5752832
16,2.022310256958008,6990848,3046400
17,1.7189446687698364,9609216,8280064
18,1.7486706972122192,9665536,5744640
19,1.9463005065917969,9699328,5758976
20,1.623910665512085,9652224,5710336
21,1.458290934562683,9819136,5892096
22,1.476133108139038,9681920,5695488
23,1.91759192943573,9746944,5804544
24,1.5999075174331665,9678848,5715968
25,1.487505316734314,9661952,5719040
26,1.5644793510437012,9617920,5681664
27,1.4678419828414917,9784832,5867008
28,1.5874744653701782,9648128,5670400
29,1.5195881128311157,9657344,5725696
30,1.5623070001602173,9798144,5865984
31,1.5011804103851318,9654272,5677568
32,1.6760903596878052,9459712,5534720
33,1.5794451236724854,6904320,3033600
34,1.405460000038147,9760768,8431616
35,1.6014286279678345,9679872,5707264
36,1.5162172317504883,9763328,5826560
37,1.5145900249481201,9625088,5659136
38,1.5779671669006348,9744384,5820416
39,1.640670895576477,9520128,5560832
