,loss,memory,diff_memory
0,2.0994017124176025,2625536,2299392
1,2.0388667583465576,3688448,1680384
2,2.08742356300354,3668992,1633280
3,1.9997907876968384,3526656,1497600
4,2.0589394569396973,3578880,1595904
5,1.9493913650512695,3586560,1586176
6,1.8942480087280273,3566080,1563648
7,1.9207922220230103,3720192,1723392
8,1.9490212202072144,3667968,1624064
9,1.8894155025482178,3727360,1700352
10,1.8580633401870728,3568128,1520640
11,1.9628363847732544,3627520,1630208
12,1.9280829429626465,3640320,1623552
13,1.8593308925628662,3600896,1581568
14,2.131896734237671,3648512,1640960
15,1.7361854314804077,3646976,1623552
16,1.8272935152053833,3568640,1546752
17,1.6979954242706299,3621888,1623040
18,1.787697434425354,3483136,1468416
19,1.8355671167373657,3622400,1649664
20,1.6847350597381592,3682304,1668096
21,1.832675814628601,3708928,1675264
22,1.7242199182510376,3422720,1380864
23,1.9026070833206177,3607040,1654784
24,1.5951653718948364,3628032,1617920
25,1.9644256830215454,3559424,1542656
26,1.6243622303009033,3645440,1653248
27,1.6690162420272827,3403264,1381888
28,1.7790696620941162,3468800,1520640
29,1.603241205215454,3618816,1651712
30,1.4941892623901367,3539968,1527808
31,1.4274739027023315,3626496,1637888
32,1.6733874082565308,3648512,1633280
33,1.3720346689224243,2089984,66560
34,1.6027886867523193,3545088,2240512
35,1.7584240436553955,3586560,1596416
36,1.375009536743164,3646464,1643008
37,1.2037094831466675,3487744,1466368
38,1.564446210861206,3678720,1705472
39,1.3145568370819092,3520512,1489920
