,loss,memory,diff_memory
0,2.300811767578125,3789312,3589120
1,2.2782633304595947,4295168,866304
2,2.26047945022583,4343808,921088
3,2.2031190395355225,4341248,878592
4,2.163994312286377,4166144,757760
5,2.1251211166381836,4294144,935424
6,2.076998472213745,4403200,997888
7,2.0031213760375977,4444160,1036800
8,1.9936145544052124,4463616,1011712
9,2.0195631980895996,4304384,873984
10,2.135003089904785,4224512,835072
11,2.0210115909576416,4273664,884736
12,1.7815728187561035,4405248,1006592
13,2.012380361557007,4452352,1041920
14,2.2380266189575195,4237312,825344
15,2.071115255355835,4246528,840192
16,1.9614672660827637,3411456,0
17,1.9640700817108154,4387840,3587072
18,1.9347871541976929,4440064,1007616
19,2.077061891555786,4222976,775680
20,1.8314805030822754,4270080,898048
21,1.9960212707519531,4240384,822784
22,1.9454851150512695,4396544,988160
23,2.062244415283203,4257280,827904
24,2.037616729736328,4239360,830976
25,1.948320746421814,4164096,763904
26,1.8967539072036743,4453376,1087488
27,1.967746376991272,4334080,915456
28,1.9400910139083862,4260352,836608
29,1.943130373954773,4310528,894464
30,1.9884052276611328,4278272,859136
31,1.9129316806793213,4480512,1047040
32,1.9283424615859985,4399104,974848
33,1.8065088987350464,3392512,0
34,1.9323866367340088,4228608,3427840
35,1.8690155744552612,4240896,891392
36,1.8730708360671997,4332032,925696
37,1.9504016637802124,4495360,1078272
38,1.9816036224365234,4257280,831488
39,1.9680815935134888,4332032,920064
