,amazon-photo,pubmed,amazon-computers,coauthor-physics,flickr,com-amazon
0,11185,6098,19544,36290,54607,30731
1,25234,15686,44025,88320,134774,83256
2,38286,25182,67004,141782,214772,152380
3,48672,32991,85653,188485,318733,235575
4,60354,49769,107311,244984,491609,427353
5,61968,59448,110510,251190,575962,520260
