,amazon-photo,pubmed,amazon-computers,coauthor-physics,flickr,com-amazon
0,113,229,245,1111,2557,
1,471,712,995,3486,7890,
2,1335,1539,2816,7652,16885,
3,3176,2891,6698,14598,31415,
4,16563,9719,34431,51070,102906,
5,61831,27706,127899,150863,286992,
