,amazon-photo_neighbor_sampler,amazon-photo_inference_sampler,pubmed_neighbor_sampler,pubmed_inference_sampler,amazon-computers_neighbor_sampler,amazon-computers_inference_sampler,coauthor-physics_neighbor_sampler,coauthor-physics_inference_sampler,flickr_neighbor_sampler,flickr_inference_sampler,com-amazon_neighbor_sampler,com-amazon_inference_sampler
1%,2.7159835071549843,16.012436320047946,1.5054519021080688,1.7761567933981728,2.633177881412392,19.87117777960933,2.348557381291241,4.163613712914686,1.6265745510854352,5.432741491804396,1.2288128836801404,1.7243979775473477
3%,4.366412213740458,23.48016586040083,1.8942170395049975,2.5523954630099883,4.291698473282443,29.531546105847006,3.5915665507429657,7.168580520199225,2.337793155167712,7.560820280527868,1.3425756908163908,1.888779544855461
6%,5.913732662703856,28.240535424553812,2.2388764817041746,3.0071872571872573,5.809511568123393,33.74244833068362,4.83446567823555,9.957647058823529,3.1934891996330377,8.675847077805665,1.4796934575184475,2.042918823706313
10%,7.049920185749528,30.185319377348364,2.5334196704798906,3.4325435903377164,6.973193188299519,35.49173305275816,5.874996106282902,11.953361928351356,4.087665203874055,9.330442577030812,1.6246197148119788,2.1788058078798715
25%,8.375240450673262,31.401542348092008,3.018877911079746,3.974324394418798,8.354863514033065,36.2688539192399,7.3200377069463265,13.834609404793335,5.882078853046595,9.976403361344538,1.989620147240793,2.480105042223821
50%,8.685588353145452,31.354723942548425,3.240564771568154,4.316439609597397,8.686395825568393,36.161748473029654,7.691158084493938,14.25090909090909,6.673288416568266,10.077613445378152,2.3067620212532787,2.705265724037055
FULL,31.132287581699348,31.132287581699348,4.496018664096972,4.496018664096972,35.7563990692263,35.7563990692263,14.37752587481518,14.37752587481518,10.081299719887955,10.081299719887955,2.7649277465709856,2.7649277465709856
