,gcn,ggnn,gat,gaan
amp,64,1024,16_32,16_32_64
pub,1024,512,4_128,4_2_64
amc,32,512,4_64,4_32_512
cph,32,512,4_64,4_32_1
fli,512,64,8_32,4_32_8
