,amp,pub,amc,cph,fli,cam
1,0.90957,0.85500,0.80134,0.95895,0.48461,
2,0.92786,0.85900,0.81792,0.96081,0.49464,
4,0.92838,0.86000,0.85660,0.96127,0.49415,
8,0.92682,0.86400,0.83130,0.96023,0.49877,
16,0.93100,0.85800,0.86009,0.96162,0.49769,
