,amp,pub,amc,cph,fli,cam
1,0.91584,0.90200,0.86446,,0.49904,
2,0.92159,0.90300,0.88685,,0.50504,
4,0.92211,0.89400,0.84351,,0.51557,
8,0.92159,0.89600,0.86126,,0.50379,
16,0.93832,0.89300,0.86358,,0.50509,
32,0.93675,0.89700,0.87435,,0.52032,
64,0.93257,0.89600,0.89238,,,
128,0.94250,0.89800,,,,
256,0.93204,0.89900,,,,
