,amp,pub,amc,cph,fli,cam
1,0.91636,0.88900,0.83217,,0.51513,
2,0.93518,0.90100,0.83566,,0.50975,
4,0.93675,0.89700,0.87435,,0.52032,
8,0.93675,0.89600,0.89092,,,
16,0.94250,0.89400,,,,
