,amp,pub,amc,cph,fli,cam
1,0.82802,0.84700,0.76760,,0.48541,
2,0.89650,0.88600,0.78156,,0.48649,
4,0.92943,0.89000,0.86533,,0.50303,
8,0.93675,0.90000,0.88627,,0.52122,
16,0.92054,0.89200,0.86882,,0.50993,
32,0.93623,0.89300,0.87784,,0.51060,
64,0.93675,0.89700,0.87435,,0.52032,
128,0.92995,0.89300,0.88656,,0.50715,
256,0.93309,0.90000,0.87813,,0.50078,
512,0.93048,0.89300,0.89471,,,
1024,0.91479,0.89900,,,,
2048,0.91061,0.89500,,,,
