,1,2,4,8,16
0,167.664582,222.789099,313.236969,547.976049,1010.906458
1,168.612879,224.316668,314.432381,549.477704,1018.42479
2,168.918515,224.800148,315.073345,550.831693,1018.732346
3,169.239223,224.876173,315.11347,551.710589,1021.41543
4,169.289357,225.026495,315.165914,551.769246,1024.260707
5,169.511385,225.185836,316.112227,552.057949,1024.31011
6,169.575,225.234444,316.179966,552.140219,1025.754274
7,169.654672,225.478326,316.301042,552.175859,1026.193418
8,169.69204,225.489681,316.721452,552.909013,1026.503095
9,169.850302,225.611461,317.256092,553.529719,1027.018512
10,169.860057,225.711548,317.708627,553.541007,1027.998428
11,169.952816,225.762072,317.769645,553.998764,1028.512487
12,169.983763,225.769499,317.933502,554.37905,1029.13387
13,170.03355,225.788661,317.970554,554.397096,1030.689185
14,170.043113,225.840912,318.096879,554.509283,1030.805871
15,170.119009,226.031427,318.133644,554.928088,1031.67232
16,170.137828,226.035043,318.403764,555.84227,1031.674503
17,170.229052,226.245259,318.468494,556.24208,1032.95941
18,170.252697,226.35149,318.656701,556.309786,1033.210708
19,170.35582,226.409853,318.739477,556.640885,1033.399873
20,170.373483,226.46246,318.859114,556.651392,1033.879669
21,170.395976,226.477947,319.007804,556.875103,1034.046703
22,170.413607,226.537233,319.176845,556.893342,1034.79533
23,170.491808,226.570162,319.287971,557.01749,1035.404979
24,170.55641,226.958699,319.348862,557.037073,1037.535368
25,170.558393,227.019877,319.353629,557.309176,1038.231849
26,170.70654,227.033731,319.701021,557.796427,1042.746254
27,170.733902,227.049571,319.717659,558.183458,1043.171457
28,170.747976,227.059078,319.738298,558.291134,1043.593609
29,170.780458,227.097886,319.766296,558.393556,1046.083773
30,170.797156,227.10291,319.86731,558.483308,1046.263852
31,170.811619,227.146778,320.020705,558.572876,1047.446347
32,170.822721,227.19151,320.021408,558.606473,1050.128748
33,170.8448,227.303852,320.226669,559.17874,1051.473083
34,171.004113,227.364774,320.315557,559.349374,1052.178171
35,171.009008,227.434304,320.585868,559.657922,1052.211146
36,171.172738,227.462781,320.744286,560.240582,1053.401196
37,171.27804,227.47238,320.960586,560.357993,1053.622072
38,171.315705,227.503097,321.236946,560.455417,1054.14004
39,171.32466,227.56658,321.282829,560.738496,1054.279195
40,171.352466,227.606608,321.350343,560.772662,1054.361784
41,171.453576,227.642316,321.351496,561.694114,1055.085334
42,171.557667,227.667274,321.496091,561.755139,1056.221871
43,171.700977,227.986253,321.626767,561.845684,1056.871923
44,171.705681,228.312655,321.852633,563.702795,1057.478044
45,171.747853,228.369962,322.219737,564.86173,1059.12023
46,174.011939,228.532956,323.753453,566.521162,1059.263501
47,176.432323,229.464838,324.807565,569.461765,1060.470347
48,205.622498,241.377327,338.951047,584.537995,1064.371015
49,206.11897,254.619572,352.023863,586.623784,1074.62149
