,1,2,4,8
0,349.643255,451.230178,683.153041,1159.911839
1,352.188591,453.391485,684.605689,1169.061035
2,352.754203,454.341574,685.396708,1169.411339
3,353.238352,454.385929,685.690858,1170.856776
4,353.303369,454.460795,686.335471,1171.983649
5,353.835865,454.524533,686.851391,1177.98467
6,353.879349,454.651817,687.208126,1178.678366
7,353.881685,454.696355,687.481971,1179.492788
8,353.979371,455.245715,687.938269,1180.295787
9,354.113183,456.184101,688.286869,1185.221046
10,354.126654,456.258935,688.366069,1185.649837
11,354.202232,456.268157,689.291009,1185.698936
12,354.222751,456.50531,689.294393,1186.795205
13,354.304718,457.05374,689.309175,1188.427023
14,354.371016,457.1641,689.748016,1189.470513
15,354.41386,457.216797,690.162065,1189.550633
16,354.541561,457.38284,690.716823,1192.339467
17,354.565142,457.391632,691.028643,1193.297106
18,354.600573,457.64368,691.092668,1193.801637
19,354.692394,457.94483,691.383931,1194.05033
20,354.734695,458.031734,691.679047,1196.187307
21,354.864923,458.283676,692.369269,1196.428053
22,354.953533,458.284191,692.395934,1196.66496
23,355.114212,458.405459,692.555055,1198.342215
24,355.272502,458.958433,692.84506,1199.101929
25,355.277333,458.996637,693.220931,1200.243993
26,355.277782,459.717404,693.471836,1200.334288
27,355.582764,459.844944,693.666955,1201.128497
28,355.599746,459.893548,694.057303,1201.608453
29,355.69241,460.058554,694.375321,1202.591107
30,355.698361,460.25972,694.438436,1206.522752
31,355.997172,461.511957,694.646304,1206.530179
32,355.998174,461.70714,694.657023,1207.075345
33,356.08319,461.860118,694.726185,1208.064087
34,356.378641,462.01572,694.872772,1209.150927
35,356.478834,462.162426,695.32861,1209.274121
36,356.497222,462.365002,695.438585,1210.419712
37,356.580168,462.789315,696.716772,1214.466191
38,356.857093,462.842396,697.61509,1215.910118
39,356.885954,462.902646,699.057294,1216.985572
40,356.96022,463.137697,699.37373,1217.932557
41,357.355235,464.763885,699.806345,1218.62997
42,357.452079,464.851013,700.126188,1218.67403
43,357.635688,464.98396,702.113751,1219.305392
44,357.891591,465.400658,702.818902,1220.483849
45,358.36166,465.603392,704.001579,1221.283676
46,358.413815,468.135961,714.655425,1224.043075
47,358.917683,481.956378,715.195112,1232.9282
48,360.714501,496.556154,728.932107,1251.376488
49,414.763759,499.323753,729.445081,1252.029545
