,1,2,4
0,310.502646,425.783984,648.684527
1,310.635625,426.699357,649.461934
2,310.896433,426.913833,650.367452
3,310.949453,427.030882,650.383413
4,311.12646,427.139193,650.494246
5,311.452319,427.173877,650.768818
6,311.498075,427.380835,651.276804
7,311.571732,427.495032,651.549776
8,311.578259,427.626568,651.627977
9,311.579507,427.707553,651.720027
10,311.585075,427.790366,652.044893
11,311.585427,427.930829,652.896976
12,311.642381,428.090846,652.911822
13,311.65454,428.153692,653.758977
14,311.676235,428.204472,653.908307
15,311.704296,428.268978,653.925682
16,311.797983,428.494781,654.265103
17,311.801023,428.630481,654.29768
18,311.810079,428.814144,654.473052
19,311.899159,428.832224,654.702887
20,311.965616,428.910551,654.846398
21,311.999565,429.11431,654.89583
22,312.224441,429.159585,654.896373
23,312.25343,429.272056,655.229229
24,312.259957,429.301685,655.691789
25,312.271284,429.403914,655.70846
26,312.370827,429.441641,655.721418
27,312.481089,429.450342,655.753191
28,312.481345,429.471366,656.261882
29,312.600246,429.510915,656.723983
30,312.609046,429.689104,656.936256
31,312.696077,429.705871,657.175899
32,312.748808,429.899965,657.602164
33,312.86867,429.911774,657.628925
34,313.000192,430.041523,657.925591
35,313.101576,430.060432,658.562557
36,313.377072,430.40325,658.654613
37,313.503236,430.538437,659.162215
38,313.513796,430.576001,659.30924
39,313.593532,430.613182,659.657177
40,313.6781,430.622525,659.682423
41,313.746446,430.83441,659.950302
42,313.819719,430.911491,660.028503
43,313.968953,431.267585,660.353817
44,314.265887,431.509867,660.531114
45,314.287613,431.646848,661.204983
46,314.325689,431.919685,663.576436
47,315.037336,432.251753,668.55607
48,315.93943,449.545435,676.332125
49,371.610292,452.727733,687.990394
