,16,32,64,128,256
0,878.306745,901.100545,940.460671,1027.891347,1243.162404
1,878.806716,903.52556,941.760164,1027.924351,1243.362993
2,879.86737,904.513707,942.159337,1028.724955,1247.23433
3,880.683488,907.845595,943.276602,1028.813838,1251.01476
4,882.766626,909.176194,943.768078,1029.751581,1252.448855
5,883.239927,909.586269,944.572772,1030.854549,1254.001162
6,884.889985,912.468438,945.290019,1032.923352,1256.004994
7,885.224291,912.940076,948.621182,1036.198927,1257.993663
8,885.371125,913.425472,949.166872,1036.750653,1259.230076
9,885.424113,913.616079,949.372176,1038.677025,1259.386432
10,886.435092,916.062448,950.400082,1039.782377,1260.964126
11,888.323912,916.334722,950.672762,1040.590879,1261.371339
12,888.35206,917.149112,951.098004,1041.623828,1262.227595
13,890.39773,918.203033,951.257382,1042.21072,1265.086343
14,891.063749,918.448094,951.672212,1043.052339,1266.43102
15,891.555481,920.461939,952.269321,1043.955137,1267.393173
16,891.687181,920.62236,952.576739,1045.175646,1272.545183
17,893.10142,921.581915,952.949888,1045.25777,1273.889257
18,893.276764,922.168368,953.726842,1050.119279,1275.022269
19,893.306906,922.908045,953.946566,1050.385654,1276.535272
20,894.071777,923.884499,954.454628,1050.439282,1276.712442
21,894.081971,923.94299,955.124315,1051.088567,1277.847388
22,894.15822,924.160922,955.594461,1052.94155,1277.877945
23,895.76349,924.187028,958.786362,1053.097087,1278.210194
24,896.157678,924.605134,959.239716,1053.811935,1278.273686
25,897.150819,926.320374,960.12434,1054.671984,1278.729218
26,898.263326,926.659666,960.220408,1055.086639,1278.734251
27,898.530438,926.70475,961.488932,1055.209471,1283.030266
28,899.926919,927.003735,962.073039,1055.844413,1283.246183
29,900.423352,930.222287,963.855149,1056.063121,1284.201551
30,900.524111,930.620234,963.976706,1056.54902,1285.382884
31,902.255794,931.122957,964.490676,1057.693277,1286.208941
32,902.442306,931.855514,964.635458,1058.713815,1288.646957
33,902.882456,931.919636,968.238422,1059.541509,1292.86302
34,903.186398,932.265221,970.101997,1063.453383,1292.920935
35,903.314674,933.387903,971.460082,1063.583547,1293.959062
36,903.774784,934.962576,971.504878,1063.721674,1294.45201
37,904.363699,935.985618,972.35253,1065.746263,1294.57624
38,904.399775,937.157607,972.516465,1067.615351,1295.812127
39,904.93203,937.259651,973.10006,1068.56335,1299.252485
40,905.403059,937.6391,973.87167,1071.234318,1299.615121
41,905.490539,938.618402,975.210353,1071.629866,1299.920488
42,906.659232,938.966914,976.464874,1072.042713,1300.306322
43,906.952998,939.540175,977.267361,1073.061831,1300.768456
44,907.642631,942.468548,977.572555,1073.225944,1301.417867
45,908.494809,943.003827,979.596755,1073.453219,1302.116524
46,908.58808,943.241819,981.14439,1073.584823,1302.323993
47,908.955375,950.473162,982.160234,1074.418059,1306.500492
48,917.906905,955.24194,984.536785,1074.707121,1307.13565
49,924.296282,959.533809,1004.772978,1087.058443,1311.461847
