,16,32,64,128,256
0,569.731744,593.878183,648.684527,771.682038,1089.035384
1,569.755581,594.017314,649.461934,772.523018,1091.05817
2,570.018895,594.584463,650.367452,773.377403,1091.666952
3,570.592433,594.895915,650.383413,773.861104,1092.212281
4,570.655254,595.460664,650.494246,774.056413,1092.95295
5,570.805639,595.51829,650.768818,774.166003,1093.608474
6,570.858114,595.874257,651.276804,775.093087,1093.703505
7,570.934898,595.906538,651.549776,775.714375,1094.612799
8,571.088846,595.999949,651.627977,776.167901,1094.628829
9,571.433454,596.020484,651.720027,776.514909,1094.656507
10,571.463778,596.185269,652.044893,777.529024,1094.735507
11,571.714004,596.404546,652.896976,778.065552,1097.580063
12,572.072468,596.542736,652.911822,779.047031,1099.404761
13,572.161036,596.636332,653.758977,779.077172,1100.726752
14,572.384791,596.962826,653.908307,780.274086,1100.821592
15,572.408164,597.042819,653.925682,780.417466,1102.429484
16,572.482814,597.131679,654.265103,781.537811,1102.979892
17,572.531082,597.491519,654.29768,781.626511,1103.311009
18,572.598916,597.542401,654.473052,782.756889,1103.32146
19,572.999839,597.738691,654.702887,783.097061,1103.710896
20,573.172671,598.107238,654.846398,783.533043,1104.066512
21,573.298355,598.140355,654.89583,783.558652,1105.952784
22,573.368222,598.449914,654.896373,783.983061,1106.640209
23,573.441292,598.467352,655.229229,784.166756,1109.400086
24,573.454469,598.485924,655.691789,785.523817,1110.149133
25,573.477763,598.575356,655.70846,785.586755,1113.348494
26,573.823044,598.909817,655.721418,786.1396,1113.642931
27,574.053167,599.062371,655.753191,786.693726,1114.055245
28,574.16986,599.146883,656.261882,787.614954,1114.326927
29,574.277722,599.184479,656.723983,787.952843,1116.175788
30,574.31044,599.254649,656.936256,788.248618,1117.321726
31,574.356115,599.488932,657.175899,788.40703,1117.43873
32,574.392591,599.646197,657.602164,788.991169,1117.503438
33,574.548135,599.674667,657.628925,789.191598,1118.412623
34,574.937967,599.691793,657.925591,789.511666,1118.662295
35,574.993368,600.034455,658.562557,789.992229,1119.048352
36,575.053144,600.371276,658.654613,790.74919,1119.343609
37,575.135819,600.767272,659.162215,790.861564,1119.532468
38,575.189612,600.883709,659.30924,791.054794,1120.511228
39,575.462414,600.914626,659.657177,791.089666,1122.689384
40,576.059864,600.952894,659.682423,791.242932,1123.47664
41,576.277353,601.364848,659.950302,791.358159,1123.632453
42,576.299239,601.805649,660.028503,791.458181,1124.284599
43,576.685316,601.997376,660.353817,791.602579,1124.574108
44,576.901776,602.126956,660.531114,791.73182,1124.789128
45,577.135611,602.27539,661.204983,791.841406,1125.132809
46,578.045698,602.655643,663.576436,792.481507,1126.494253
47,597.403098,617.070004,668.55607,804.485192,1137.985077
48,603.75346,618.183622,676.332125,808.19807,1140.934917
49,606.539899,636.01489,687.990394,823.836236,1145.60742
