,mul,index_put_impl_,cat,sum,mm,other
8,8.268525553191491,10.093030872340426,4.820361574468085,4.9879716808510635,20.97716442553192,26.08456014893612
16,14.714401822222223,10.328698888888892,8.568892644444446,9.94349104444445,31.035167377777782,33.49687153333332
32,27.582773209302328,11.328339325581394,13.075689790697675,14.046204093023258,40.2499918372093,50.415977790697696
64,53.388784249999986,10.823895590909089,25.59057140909091,16.69003572727273,84.83778661363637,84.10506975000001
128,105.40919902083334,11.048386333333333,50.315561312499995,30.15672504166667,188.48291306250005,151.7923560416666
