,gcn,ggnn,gat,gaan
1%,0.75450844,0.82780686,0.8344968,0.86125654
3%,0.84351367,0.8432228,0.87201862,0.87696335
6%,0.84584061,0.85165794,0.87172775,0.88481675
10%,0.84002327,0.85107621,0.86329261,0.87958115
25%,0.83682373,0.86038394,0.85922048,0.88888889
50%,0.82547993,0.87812682,0.86998255,0.87405468
