,gcn,ggnn,gat,gaan
1%,0.83795086,0.90642969,0.94458965,0.9853633
3%,0.89074752,0.91008887,0.94563513,0.99268165
6%,0.85572399,0.91949817,0.94406691,0.98902248
10%,0.83063251,0.92315734,0.94406691,0.98902248
25%,0.83638265,0.91374804,0.93936226,0.97647674
50%,0.82697334,0.91897543,0.93518035,0.97490852
