,gcn,ggnn,gat,gaan
1%,0.894,0.853,0.87,0.9
3%,0.893,0.866,0.872,0.895
6%,0.897,0.866,0.868,0.898
10%,0.895,0.866,0.869,0.896
25%,0.891,0.881,0.872,0.903
50%,0.884,0.878,0.87,0.899
