,gcn,ggnn,gat,gaan
1%,0.886,0.857,0.879,0.925
3%,0.881,0.875,0.88,0.951
6%,0.885,0.868,0.878,0.963
10%,0.891,0.87,0.877,0.98
25%,0.891,0.862,0.875,0.953
50%,0.881,0.869,0.872,0.942
